"Fact","Fact Note","Hinds County, Mississippi","Value Note for Hinds County, Mississippi"
"Population estimates, July 1, 2024, (V2024)","","211,975",""
"Population estimates, July 1, 2023, (V2023)","","214,870",""
"Population estimates base, April 1, 2020, (V2024)","","227,739",""
"Population estimates base, April 1, 2020, (V2023)","","227,741",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-6.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.7%",""
"Population, Census, April 1, 2020","","227,742",""
"Population, Census, April 1, 2010","","245,285",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.2%",""
"Persons 65 years and over, percent","","16.9%",""
"Female persons, percent","","53.4%",""
"White alone, percent","","24.8%",""
"Black alone, percent (a)","(a)","73.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.1%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.0%",""
"Hispanic or Latino, percent (b)","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","23.0%",""
"Veterans, 2019-2023","","9,815",""
"Foreign-born persons, percent, 2019-2023","","1.9%",""
"Housing Units, July 1, 2023, (V2023)","","106,445",""
"Owner-occupied housing unit rate, 2019-2023","","57.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$151,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,316",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$439",""
"Median gross rent, 2019-2023","","$1,032",""
"Building Permits, 2023","","212",""
"Households, 2019-2023","","89,720",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.3%",""
"Households with a computer, percent, 2019-2023","","92.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.7%",""
"Persons without health insurance, under age 65 years, percent","","12.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","590,391",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","4,588,849",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","459,053",""
"Total retail sales, 2022 ($1,000)","(c)","4,489,535",""
"Total retail sales per capita, 2022","(c)","$20,636",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.9",""
"Median households income (in 2023 dollars), 2019-2023","","$49,966",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,336",""
"Persons in poverty, percent","","21.0%",""
"Total employer establishments, 2022","","4,915",""
"Total employment, 2022","","84,882",""
"Total annual payroll, 2022 ($1,000)","","4,440,987",""
"Total employment, percent change, 2021-2022","","-8.8%",""
"Total nonemployer establishments, 2022","","21,746",""
"All employer firms, Reference year 2022","","3,944",""
"Men-owned employer firms, Reference year 2022","","2,114",""
"Women-owned employer firms, Reference year 2022","","788",""
"Minority-owned employer firms, Reference year 2022","","828",""
"Nonminority-owned employer firms, Reference year 2022","","2,337",""
"Veteran-owned employer firms, Reference year 2022","","155",""
"Nonveteran-owned employer firms, Reference year 2022","","3,000",""
"Population per square mile, 2020","","261.8",""
"Population per square mile, 2010","","282.0",""
"Land area in square miles, 2020","","869.85",""
"Land area in square miles, 2010","","869.74",""
"FIPS Code","","""28049""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
