"Fact","Fact Note","Jefferson Davis County, Mississippi","Value Note for Jefferson Davis County, Mississippi"
"Population estimates, July 1, 2024, (V2024)","","11,059",""
"Population estimates, July 1, 2023, (V2023)","","10,969",""
"Population estimates base, April 1, 2020, (V2024)","","11,326",""
"Population estimates base, April 1, 2020, (V2023)","","11,320",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.1%",""
"Population, Census, April 1, 2020","","11,321",""
"Population, Census, April 1, 2010","","12,487",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","19.9%",""
"Persons 65 years and over, percent","","25.1%",""
"Female persons, percent","","52.8%",""
"White alone, percent","","39.2%",""
"Black alone, percent (a)","(a)","58.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","1.2%",""
"White alone, not Hispanic or Latino, percent","","38.5%",""
"Veterans, 2019-2023","","591",""
"Foreign-born persons, percent, 2019-2023","","0.2%",""
"Housing Units, July 1, 2023, (V2023)","","5,709",""
"Owner-occupied housing unit rate, 2019-2023","","81.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$87,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,086",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$444",""
"Median gross rent, 2019-2023","","$695",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","4,383",""
"Persons per household, 2019-2023","","2.52",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","0.3%",""
"Households with a computer, percent, 2019-2023","","85.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","75.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","17.2%",""
"Persons without health insurance, under age 65 years, percent","","13.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","51.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,676",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","43,340",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","15,983",""
"Total retail sales, 2022 ($1,000)","(c)","80,596",""
"Total retail sales per capita, 2022","(c)","$7,275",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","34.2",""
"Median households income (in 2023 dollars), 2019-2023","","$37,183",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,065",""
"Persons in poverty, percent","","25.0%",""
"Total employer establishments, 2022","","125",""
"Total employment, 2022","","1,425",""
"Total annual payroll, 2022 ($1,000)","","80,201",""
"Total employment, percent change, 2021-2022","","16.0%",""
"Total nonemployer establishments, 2022","","908",""
"All employer firms, Reference year 2022","","98",""
"Men-owned employer firms, Reference year 2022","","39",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","13",""
"Nonminority-owned employer firms, Reference year 2022","","67",""
"Veteran-owned employer firms, Reference year 2022","","4",""
"Nonveteran-owned employer firms, Reference year 2022","","71",""
"Population per square mile, 2020","","27.7",""
"Population per square mile, 2010","","30.6",""
"Land area in square miles, 2020","","408.45",""
"Land area in square miles, 2010","","408.44",""
"FIPS Code","","""28065""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
