"Fact","Fact Note","Leake County, Mississippi","Value Note for Leake County, Mississippi"
"Population estimates, July 1, 2024, (V2024)","","21,462",""
"Population estimates, July 1, 2023, (V2023)","","21,258",""
"Population estimates base, April 1, 2020, (V2024)","","21,273",""
"Population estimates base, April 1, 2020, (V2023)","","21,272",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","21,275",""
"Population, Census, April 1, 2010","","23,805",""
"Persons under 5 years, percent","","7.2%",""
"Persons under 18 years, percent","","23.8%",""
"Persons 65 years and over, percent","","18.5%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","50.9%",""
"Black alone, percent (a)","(a)","39.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","7.3%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","6.6%",""
"White alone, not Hispanic or Latino, percent","","46.7%",""
"Veterans, 2019-2023","","1,208",""
"Foreign-born persons, percent, 2019-2023","","2.8%",""
"Housing Units, July 1, 2023, (V2023)","","9,114",""
"Owner-occupied housing unit rate, 2019-2023","","75.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$114,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,234",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$358",""
"Median gross rent, 2019-2023","","$757",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","7,384",""
"Persons per household, 2019-2023","","2.82",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.1%",""
"Households with a computer, percent, 2019-2023","","87.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","73.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","82.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.8%",""
"Persons without health insurance, under age 65 years, percent","","15.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","65,701",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","223,865",""
"Total retail sales per capita, 2022","(c)","$10,558",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","32.2",""
"Median households income (in 2023 dollars), 2019-2023","","$48,418",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,895",""
"Persons in poverty, percent","","20.6%",""
"Total employer establishments, 2022","","326",""
"Total employment, 2022","","4,698",""
"Total annual payroll, 2022 ($1,000)","","170,589",""
"Total employment, percent change, 2021-2022","","-4.8%",""
"Total nonemployer establishments, 2022","","1,507",""
"All employer firms, Reference year 2022","","375",""
"Men-owned employer firms, Reference year 2022","","256",""
"Women-owned employer firms, Reference year 2022","","22",""
"Minority-owned employer firms, Reference year 2022","","52",""
"Nonminority-owned employer firms, Reference year 2022","","276",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","260",""
"Population per square mile, 2020","","36.5",""
"Population per square mile, 2010","","40.8",""
"Land area in square miles, 2020","","582.90",""
"Land area in square miles, 2010","","583.00",""
"FIPS Code","","""28079""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
