"Fact","Fact Note","Neshoba County, Mississippi","Value Note for Neshoba County, Mississippi"
"Population estimates, July 1, 2024, (V2024)","","28,973",""
"Population estimates, July 1, 2023, (V2023)","","28,789",""
"Population estimates base, April 1, 2020, (V2024)","","29,097",""
"Population estimates base, April 1, 2020, (V2023)","","29,092",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.0%",""
"Population, Census, April 1, 2020","","29,087",""
"Population, Census, April 1, 2010","","29,676",""
"Persons under 5 years, percent","","7.3%",""
"Persons under 18 years, percent","","27.3%",""
"Persons 65 years and over, percent","","16.6%",""
"Female persons, percent","","52.4%",""
"White alone, percent","","58.3%",""
"Black alone, percent (a)","(a)","21.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","17.1%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","2.0%",""
"White alone, not Hispanic or Latino, percent","","57.4%",""
"Veterans, 2019-2023","","1,346",""
"Foreign-born persons, percent, 2019-2023","","0.8%",""
"Housing Units, July 1, 2023, (V2023)","","12,159",""
"Owner-occupied housing unit rate, 2019-2023","","75.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$96,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,065",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$358",""
"Median gross rent, 2019-2023","","$759",""
"Building Permits, 2023","","2",""
"Households, 2019-2023","","10,285",""
"Persons per household, 2019-2023","","2.76",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.4%",""
"Households with a computer, percent, 2019-2023","","89.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","82.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.2%",""
"Persons without health insurance, under age 65 years, percent","","15.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","516,007",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","110,460",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","54,967",""
"Total retail sales, 2022 ($1,000)","(c)","372,548",""
"Total retail sales per capita, 2022","(c)","$12,934",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.6",""
"Median households income (in 2023 dollars), 2019-2023","","$53,087",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,950",""
"Persons in poverty, percent","","20.5%",""
"Total employer establishments, 2022","","502",""
"Total employment, 2022","","10,412",""
"Total annual payroll, 2022 ($1,000)","","567,918",""
"Total employment, percent change, 2021-2022","","-0.2%",""
"Total nonemployer establishments, 2022","","1,969",""
"All employer firms, Reference year 2022","","426",""
"Men-owned employer firms, Reference year 2022","","227",""
"Women-owned employer firms, Reference year 2022","","94",""
"Minority-owned employer firms, Reference year 2022","","22",""
"Nonminority-owned employer firms, Reference year 2022","","335",""
"Veteran-owned employer firms, Reference year 2022","","15",""
"Nonveteran-owned employer firms, Reference year 2022","","343",""
"Population per square mile, 2020","","51.0",""
"Population per square mile, 2010","","52.1",""
"Land area in square miles, 2020","","570.13",""
"Land area in square miles, 2010","","570.14",""
"FIPS Code","","""28099""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
