"Fact","Fact Note","Washington County, Mississippi","Value Note for Washington County, Mississippi"
"Population estimates, July 1, 2024, (V2024)","","41,181",""
"Population estimates, July 1, 2023, (V2023)","","41,946",""
"Population estimates base, April 1, 2020, (V2024)","","44,928",""
"Population estimates base, April 1, 2020, (V2023)","","44,922",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-8.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-6.6%",""
"Population, Census, April 1, 2020","","44,922",""
"Population, Census, April 1, 2010","","51,137",""
"Persons under 5 years, percent","","6.7%",""
"Persons under 18 years, percent","","25.7%",""
"Persons 65 years and over, percent","","18.7%",""
"Female persons, percent","","53.5%",""
"White alone, percent","","24.5%",""
"Black alone, percent (a)","(a)","73.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","0.8%",""
"Hispanic or Latino, percent (b)","(b)","1.6%",""
"White alone, not Hispanic or Latino, percent","","23.6%",""
"Veterans, 2019-2023","","1,395",""
"Foreign-born persons, percent, 2019-2023","","0.8%",""
"Housing Units, July 1, 2023, (V2023)","","20,880",""
"Owner-occupied housing unit rate, 2019-2023","","56.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$99,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,281",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$406",""
"Median gross rent, 2019-2023","","$786",""
"Building Permits, 2023","","18",""
"Households, 2019-2023","","17,227",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.0%",""
"Households with a computer, percent, 2019-2023","","82.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","55.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","79.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","20.4%",""
"Persons without health insurance, under age 65 years, percent","","14.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","154,725",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","312,069",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","155,284",""
"Total retail sales, 2022 ($1,000)","(c)","663,565",""
"Total retail sales per capita, 2022","(c)","$15,604",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.2",""
"Median households income (in 2023 dollars), 2019-2023","","$40,117",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,162",""
"Persons in poverty, percent","","35.5%",""
"Total employer establishments, 2022","","1,045",""
"Total employment, 2022","","12,648",""
"Total annual payroll, 2022 ($1,000)","","496,231",""
"Total employment, percent change, 2021-2022","","1.6%",""
"Total nonemployer establishments, 2022","","3,687",""
"All employer firms, Reference year 2022","","731",""
"Men-owned employer firms, Reference year 2022","","400",""
"Women-owned employer firms, Reference year 2022","","114",""
"Minority-owned employer firms, Reference year 2022","","133",""
"Nonminority-owned employer firms, Reference year 2022","","430",""
"Veteran-owned employer firms, Reference year 2022","","24",""
"Nonveteran-owned employer firms, Reference year 2022","","541",""
"Population per square mile, 2020","","62.0",""
"Population per square mile, 2010","","70.6",""
"Land area in square miles, 2020","","723.97",""
"Land area in square miles, 2010","","724.74",""
"FIPS Code","","""28151""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
