"Fact","Fact Note","Barry County, Missouri","Value Note for Barry County, Missouri"
"Population estimates, July 1, 2024, (V2024)","","35,618",""
"Population estimates, July 1, 2023, (V2023)","","35,265",""
"Population estimates base, April 1, 2020, (V2024)","","34,529",""
"Population estimates base, April 1, 2020, (V2023)","","34,533",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.1%",""
"Population, Census, April 1, 2020","","34,534",""
"Population, Census, April 1, 2010","","35,597",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","22.7%",""
"Persons 65 years and over, percent","","22.2%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","92.6%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","2.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","10.5%",""
"White alone, not Hispanic or Latino, percent","","83.5%",""
"Veterans, 2019-2023","","2,409",""
"Foreign-born persons, percent, 2019-2023","","4.3%",""
"Housing Units, July 1, 2023, (V2023)","","17,096",""
"Owner-occupied housing unit rate, 2019-2023","","74.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$172,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,191",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$419",""
"Median gross rent, 2019-2023","","$750",""
"Building Permits, 2023","","25",""
"Households, 2019-2023","","13,360",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.9%",""
"Households with a computer, percent, 2019-2023","","90.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.4%",""
"Persons without health insurance, under age 65 years, percent","","14.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","46,875",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","139,489",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","96,916",""
"Total retail sales, 2022 ($1,000)","(c)","534,084",""
"Total retail sales per capita, 2022","(c)","$15,284",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.4",""
"Median households income (in 2023 dollars), 2019-2023","","$56,611",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,473",""
"Persons in poverty, percent","","15.5%",""
"Total employer establishments, 2022","","761",""
"Total employment, 2022","","11,820",""
"Total annual payroll, 2022 ($1,000)","","532,780",""
"Total employment, percent change, 2021-2022","","-0.8%",""
"Total nonemployer establishments, 2022","","2,683",""
"All employer firms, Reference year 2022","","639",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","92",""
"Minority-owned employer firms, Reference year 2022","","56",""
"Nonminority-owned employer firms, Reference year 2022","","501",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","535",""
"Population per square mile, 2020","","44.4",""
"Population per square mile, 2010","","45.7",""
"Land area in square miles, 2020","","778.12",""
"Land area in square miles, 2010","","778.25",""
"FIPS Code","","""29009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
