"Fact","Fact Note","Buchanan County, Missouri","Value Note for Buchanan County, Missouri"
"Population estimates, July 1, 2024, (V2024)","","83,574",""
"Population estimates, July 1, 2023, (V2023)","","82,956",""
"Population estimates base, April 1, 2020, (V2024)","","84,794",""
"Population estimates base, April 1, 2020, (V2023)","","84,796",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.2%",""
"Population, Census, April 1, 2020","","84,793",""
"Population, Census, April 1, 2010","","89,201",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","18.0%",""
"Female persons, percent","","49.4%",""
"White alone, percent","","87.4%",""
"Black alone, percent (a)","(a)","6.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.8%",""
"Two or More Races, percent","","3.2%",""
"Hispanic or Latino, percent (b)","(b)","7.6%",""
"White alone, not Hispanic or Latino, percent","","81.1%",""
"Veterans, 2019-2023","","5,010",""
"Foreign-born persons, percent, 2019-2023","","3.8%",""
"Housing Units, July 1, 2023, (V2023)","","38,534",""
"Owner-occupied housing unit rate, 2019-2023","","64.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$156,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,280",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$472",""
"Median gross rent, 2019-2023","","$889",""
"Building Permits, 2023","","80",""
"Households, 2019-2023","","33,398",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.2%",""
"Households with a computer, percent, 2019-2023","","93.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.4%",""
"Persons without health insurance, under age 65 years, percent","","12.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","238,677",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","858,684",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","458,256",""
"Total retail sales, 2022 ($1,000)","(c)","1,712,656",""
"Total retail sales per capita, 2022","(c)","$20,662",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.5",""
"Median households income (in 2023 dollars), 2019-2023","","$59,423",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,930",""
"Persons in poverty, percent","","15.1%",""
"Total employer establishments, 2022","","2,074",""
"Total employment, 2022","","42,332",""
"Total annual payroll, 2022 ($1,000)","","2,244,313",""
"Total employment, percent change, 2021-2022","","-2.7%",""
"Total nonemployer establishments, 2022","","4,718",""
"All employer firms, Reference year 2022","","1,483",""
"Men-owned employer firms, Reference year 2022","","795",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","81",""
"Nonminority-owned employer firms, Reference year 2022","","1,073",""
"Veteran-owned employer firms, Reference year 2022","","82",""
"Nonveteran-owned employer firms, Reference year 2022","","1,031",""
"Population per square mile, 2020","","207.7",""
"Population per square mile, 2010","","218.6",""
"Land area in square miles, 2020","","408.25",""
"Land area in square miles, 2010","","408.03",""
"FIPS Code","","""29021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
