"Fact","Fact Note","Jasper County, Missouri","Value Note for Jasper County, Missouri"
"Population estimates, July 1, 2024, (V2024)","","126,479",""
"Population estimates, July 1, 2023, (V2023)","","125,056",""
"Population estimates base, April 1, 2020, (V2024)","","122,750",""
"Population estimates base, April 1, 2020, (V2023)","","122,770",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.9%",""
"Population, Census, April 1, 2020","","122,761",""
"Population, Census, April 1, 2010","","117,404",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","24.4%",""
"Persons 65 years and over, percent","","16.6%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","89.9%",""
"Black alone, percent (a)","(a)","2.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.0%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.8%",""
"Two or More Races, percent","","3.6%",""
"Hispanic or Latino, percent (b)","(b)","10.0%",""
"White alone, not Hispanic or Latino, percent","","81.5%",""
"Veterans, 2019-2023","","7,464",""
"Foreign-born persons, percent, 2019-2023","","4.3%",""
"Housing Units, July 1, 2023, (V2023)","","55,387",""
"Owner-occupied housing unit rate, 2019-2023","","63.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$158,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,185",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$477",""
"Median gross rent, 2019-2023","","$904",""
"Building Permits, 2023","","683",""
"Households, 2019-2023","","48,367",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.0%",""
"Households with a computer, percent, 2019-2023","","94.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","25.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","14.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","276,603",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","724,175",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","987,967",""
"Total retail sales, 2022 ($1,000)","(c)","2,980,216",""
"Total retail sales per capita, 2022","(c)","$24,031",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.3",""
"Median households income (in 2023 dollars), 2019-2023","","$57,525",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,914",""
"Persons in poverty, percent","","15.5%",""
"Total employer establishments, 2022","","2,797",""
"Total employment, 2022","","47,546",""
"Total annual payroll, 2022 ($1,000)","","2,166,836",""
"Total employment, percent change, 2021-2022","","-1.7%",""
"Total nonemployer establishments, 2022","","7,922",""
"All employer firms, Reference year 2022","","1,867",""
"Men-owned employer firms, Reference year 2022","","861",""
"Women-owned employer firms, Reference year 2022","","209",""
"Minority-owned employer firms, Reference year 2022","","129",""
"Nonminority-owned employer firms, Reference year 2022","","1,381",""
"Veteran-owned employer firms, Reference year 2022","","102",""
"Nonveteran-owned employer firms, Reference year 2022","","1,362",""
"Population per square mile, 2020","","192.3",""
"Population per square mile, 2010","","183.9",""
"Land area in square miles, 2020","","638.51",""
"Land area in square miles, 2010","","638.49",""
"FIPS Code","","""29097""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
