"Fact","Fact Note","Miller County, Missouri","Value Note for Miller County, Missouri"
"Population estimates, July 1, 2024, (V2024)","","25,668",""
"Population estimates, July 1, 2023, (V2023)","","25,590",""
"Population estimates base, April 1, 2020, (V2024)","","24,729",""
"Population estimates base, April 1, 2020, (V2023)","","24,727",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.5%",""
"Population, Census, April 1, 2020","","24,722",""
"Population, Census, April 1, 2010","","24,748",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","20.2%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","95.8%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","94.0%",""
"Veterans, 2019-2023","","1,704",""
"Foreign-born persons, percent, 2019-2023","","1.3%",""
"Housing Units, July 1, 2023, (V2023)","","12,566",""
"Owner-occupied housing unit rate, 2019-2023","","76.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$169,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,119",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$402",""
"Median gross rent, 2019-2023","","$724",""
"Building Permits, 2023","","88",""
"Households, 2019-2023","","10,034",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.0%",""
"Households with a computer, percent, 2019-2023","","92.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.4%",""
"Persons without health insurance, under age 65 years, percent","","12.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","54,821",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","40,883",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","46,716",""
"Total retail sales, 2022 ($1,000)","(c)","582,913",""
"Total retail sales per capita, 2022","(c)","$22,947",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.2",""
"Median households income (in 2023 dollars), 2019-2023","","$55,172",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,290",""
"Persons in poverty, percent","","14.4%",""
"Total employer establishments, 2022","","730",""
"Total employment, 2022","","6,206",""
"Total annual payroll, 2022 ($1,000)","","251,438",""
"Total employment, percent change, 2021-2022","","-9.7%",""
"Total nonemployer establishments, 2022","","2,017",""
"All employer firms, Reference year 2022","","730",""
"Men-owned employer firms, Reference year 2022","","468",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","655",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","601",""
"Population per square mile, 2020","","41.7",""
"Population per square mile, 2010","","41.8",""
"Land area in square miles, 2020","","592.57",""
"Land area in square miles, 2010","","592.60",""
"FIPS Code","","""29131""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
