"Fact","Fact Note","Pulaski County, Missouri","Value Note for Pulaski County, Missouri"
"Population estimates, July 1, 2024, (V2024)","","53,964",""
"Population estimates, July 1, 2023, (V2023)","","53,812",""
"Population estimates base, April 1, 2020, (V2024)","","53,959",""
"Population estimates base, April 1, 2020, (V2023)","","53,960",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","Z",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.3%",""
"Population, Census, April 1, 2020","","53,955",""
"Population, Census, April 1, 2010","","52,274",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","21.8%",""
"Persons 65 years and over, percent","","9.9%",""
"Female persons, percent","","43.2%",""
"White alone, percent","","78.7%",""
"Black alone, percent (a)","(a)","11.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","3.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.8%",""
"Two or More Races, percent","","4.8%",""
"Hispanic or Latino, percent (b)","(b)","11.5%",""
"White alone, not Hispanic or Latino, percent","","69.6%",""
"Veterans, 2019-2023","","5,613",""
"Foreign-born persons, percent, 2019-2023","","4.9%",""
"Housing Units, July 1, 2023, (V2023)","","19,506",""
"Owner-occupied housing unit rate, 2019-2023","","59.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$189,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,360",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$447",""
"Median gross rent, 2019-2023","","$1,072",""
"Building Permits, 2023","","57",""
"Households, 2019-2023","","16,434",""
"Persons per household, 2019-2023","","2.68",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","69.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","11.3%",""
"Households with a computer, percent, 2019-2023","","93.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.4%",""
"Persons without health insurance, under age 65 years, percent","","10.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","46.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","46.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","180,282",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","270,157",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","14,878",""
"Total retail sales, 2022 ($1,000)","(c)","610,388",""
"Total retail sales per capita, 2022","(c)","$11,343",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.4",""
"Median households income (in 2023 dollars), 2019-2023","","$66,435",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,250",""
"Persons in poverty, percent","","11.4%",""
"Total employer establishments, 2022","","669",""
"Total employment, 2022","","8,279",""
"Total annual payroll, 2022 ($1,000)","","317,476",""
"Total employment, percent change, 2021-2022","","-2.0%",""
"Total nonemployer establishments, 2022","","2,443",""
"All employer firms, Reference year 2022","","526",""
"Men-owned employer firms, Reference year 2022","","226",""
"Women-owned employer firms, Reference year 2022","","168",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","357",""
"Veteran-owned employer firms, Reference year 2022","","48",""
"Nonveteran-owned employer firms, Reference year 2022","","382",""
"Population per square mile, 2020","","98.6",""
"Population per square mile, 2010","","95.5",""
"Land area in square miles, 2020","","547.11",""
"Land area in square miles, 2010","","547.10",""
"FIPS Code","","""29169""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
