"Fact","Fact Note","Saline County, Missouri","Value Note for Saline County, Missouri"
"Population estimates, July 1, 2024, (V2024)","","23,325",""
"Population estimates, July 1, 2023, (V2023)","","23,049",""
"Population estimates base, April 1, 2020, (V2024)","","23,334",""
"Population estimates base, April 1, 2020, (V2023)","","23,327",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.2%",""
"Population, Census, April 1, 2020","","23,333",""
"Population, Census, April 1, 2010","","23,370",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","21.6%",""
"Persons 65 years and over, percent","","18.2%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","86.2%",""
"Black alone, percent (a)","(a)","6.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","2.2%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","12.8%",""
"White alone, not Hispanic or Latino, percent","","75.4%",""
"Veterans, 2019-2023","","986",""
"Foreign-born persons, percent, 2019-2023","","6.1%",""
"Housing Units, July 1, 2023, (V2023)","","9,829",""
"Owner-occupied housing unit rate, 2019-2023","","70.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$139,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,152",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$493",""
"Median gross rent, 2019-2023","","$733",""
"Building Permits, 2023","","10",""
"Households, 2019-2023","","8,008",""
"Persons per household, 2019-2023","","2.70",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.3%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.1%",""
"Persons without health insurance, under age 65 years, percent","","11.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","31,262",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","126,433",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","22,289",""
"Total retail sales, 2022 ($1,000)","(c)","303,059",""
"Total retail sales per capita, 2022","(c)","$13,175",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.9",""
"Median households income (in 2023 dollars), 2019-2023","","$56,566",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,530",""
"Persons in poverty, percent","","17.6%",""
"Total employer establishments, 2022","","464",""
"Total employment, 2022","","6,796",""
"Total annual payroll, 2022 ($1,000)","","273,887",""
"Total employment, percent change, 2021-2022","","-3.0%",""
"Total nonemployer establishments, 2022","","1,278",""
"All employer firms, Reference year 2022","","371",""
"Men-owned employer firms, Reference year 2022","","141",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","263",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","257",""
"Population per square mile, 2020","","30.9",""
"Population per square mile, 2010","","30.9",""
"Land area in square miles, 2020","","755.51",""
"Land area in square miles, 2010","","755.50",""
"FIPS Code","","""29195""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
