"Fact","Fact Note","Sullivan County, Missouri","Value Note for Sullivan County, Missouri"
"Population estimates, July 1, 2024, (V2024)","","5,750",""
"Population estimates, July 1, 2023, (V2023)","","5,797",""
"Population estimates base, April 1, 2020, (V2024)","","5,987",""
"Population estimates base, April 1, 2020, (V2023)","","5,997",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-4.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.3%",""
"Population, Census, April 1, 2020","","5,999",""
"Population, Census, April 1, 2010","","6,714",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","22.1%",""
"Persons 65 years and over, percent","","21.3%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","92.4%",""
"Black alone, percent (a)","(a)","3.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.9%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent (b)","(b)","17.9%",""
"White alone, not Hispanic or Latino, percent","","77.0%",""
"Veterans, 2019-2023","","310",""
"Foreign-born persons, percent, 2019-2023","","9.1%",""
"Housing Units, July 1, 2023, (V2023)","","3,015",""
"Owner-occupied housing unit rate, 2019-2023","","73.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$103,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,141",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$438",""
"Median gross rent, 2019-2023","","$692",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","2,040",""
"Persons per household, 2019-2023","","2.82",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","94.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","16.5%",""
"Households with a computer, percent, 2019-2023","","88.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","76.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.1%",""
"Persons without health insurance, under age 65 years, percent","","12.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","324",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","19,877",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","7,567",""
"Total retail sales, 2022 ($1,000)","(c)","52,537",""
"Total retail sales per capita, 2022","(c)","$9,033",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.5",""
"Median households income (in 2023 dollars), 2019-2023","","$55,500",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$27,916",""
"Persons in poverty, percent","","12.9%",""
"Total employer establishments, 2022","","103",""
"Total employment, 2022","","1,889",""
"Total annual payroll, 2022 ($1,000)","","91,172",""
"Total employment, percent change, 2021-2022","","85.4%",""
"Total nonemployer establishments, 2022","","411",""
"All employer firms, Reference year 2022","","49",""
"Men-owned employer firms, Reference year 2022","","17",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","25",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","30",""
"Population per square mile, 2020","","9.3",""
"Population per square mile, 2010","","10.4",""
"Land area in square miles, 2020","","647.98",""
"Land area in square miles, 2010","","647.98",""
"FIPS Code","","""29211""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
