"Fact","Fact Note","Silver Bow County, Montana","Value Note for Silver Bow County, Montana"
"Population estimates, July 1, 2024, (V2024)","","36,134",""
"Population estimates, July 1, 2023, (V2023)","","36,360",""
"Population estimates base, April 1, 2020, (V2024)","","35,130",""
"Population estimates base, April 1, 2020, (V2023)","","35,132",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.5%",""
"Population, Census, April 1, 2020","","35,133",""
"Population, Census, April 1, 2010","","34,200",""
"Persons under 5 years, percent","","4.9%",""
"Persons under 18 years, percent","","20.1%",""
"Persons 65 years and over, percent","","19.5%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","93.4%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.4%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","4.7%",""
"White alone, not Hispanic or Latino, percent","","90.0%",""
"Veterans, 2019-2023","","2,741",""
"Foreign-born persons, percent, 2019-2023","","1.4%",""
"Housing Units, July 1, 2023, (V2023)","","17,608",""
"Owner-occupied housing unit rate, 2019-2023","","70.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$223,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,348",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$490",""
"Median gross rent, 2019-2023","","$810",""
"Building Permits, 2023","","100",""
"Households, 2019-2023","","15,347",""
"Persons per household, 2019-2023","","2.24",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.7%",""
"Households with a computer, percent, 2019-2023","","92.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.7%",""
"Persons without health insurance, under age 65 years, percent","","9.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","157,317",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","339,161",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","83,289",""
"Total retail sales, 2022 ($1,000)","(c)","819,930",""
"Total retail sales per capita, 2022","(c)","$22,809",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.2",""
"Median households income (in 2023 dollars), 2019-2023","","$57,504",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,925",""
"Persons in poverty, percent","","15.8%",""
"Total employer establishments, 2022","","1,201",""
"Total employment, 2022","","13,062",""
"Total annual payroll, 2022 ($1,000)","","612,201",""
"Total employment, percent change, 2021-2022","","3.8%",""
"Total nonemployer establishments, 2022","","2,474",""
"All employer firms, Reference year 2022","","969",""
"Men-owned employer firms, Reference year 2022","","489",""
"Women-owned employer firms, Reference year 2022","","170",""
"Minority-owned employer firms, Reference year 2022","","26",""
"Nonminority-owned employer firms, Reference year 2022","","774",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","716",""
"Population per square mile, 2020","","48.9",""
"Population per square mile, 2010","","47.6",""
"Land area in square miles, 2020","","717.98",""
"Land area in square miles, 2010","","718.48",""
"FIPS Code","","""30093""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
