"Fact","Fact Note","Teton County, Montana","Value Note for Teton County, Montana"
"Population estimates, July 1, 2024, (V2024)","","6,444",""
"Population estimates, July 1, 2023, (V2023)","","6,430",""
"Population estimates base, April 1, 2020, (V2024)","","6,227",""
"Population estimates base, April 1, 2020, (V2023)","","6,226",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.3%",""
"Population, Census, April 1, 2020","","6,226",""
"Population, Census, April 1, 2010","","6,073",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","24.8%",""
"Persons 65 years and over, percent","","22.9%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","93.6%",""
"Black alone, percent (a)","(a)","0.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.2%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent (b)","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","91.6%",""
"Veterans, 2019-2023","","363",""
"Foreign-born persons, percent, 2019-2023","","0.4%",""
"Housing Units, July 1, 2023, (V2023)","","2,939",""
"Owner-occupied housing unit rate, 2019-2023","","74.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$235,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,528",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$534",""
"Median gross rent, 2019-2023","","$750",""
"Building Permits, 2023","","3",""
"Households, 2019-2023","","2,452",""
"Persons per household, 2019-2023","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.1%",""
"Households with a computer, percent, 2019-2023","","90.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","25.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.6%",""
"Persons without health insurance, under age 65 years, percent","","11.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","17,325",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","55,844",""
"Total retail sales per capita, 2022","(c)","$8,800",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.9",""
"Median households income (in 2023 dollars), 2019-2023","","$67,766",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,794",""
"Persons in poverty, percent","","13.3%",""
"Total employer establishments, 2022","","223",""
"Total employment, 2022","","1,423",""
"Total annual payroll, 2022 ($1,000)","","73,096",""
"Total employment, percent change, 2021-2022","","1.6%",""
"Total nonemployer establishments, 2022","","660",""
"All employer firms, Reference year 2022","","195",""
"Men-owned employer firms, Reference year 2022","","93",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","143",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","139",""
"Population per square mile, 2020","","2.7",""
"Population per square mile, 2010","","2.7",""
"Land area in square miles, 2020","","2,271.62",""
"Land area in square miles, 2010","","2,272.38",""
"FIPS Code","","""30099""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
