"Fact","Fact Note","Antelope County, Nebraska","Value Note for Antelope County, Nebraska"
"Population estimates, July 1, 2024, (V2024)","","6,358",""
"Population estimates, July 1, 2023, (V2023)","","6,302",""
"Population estimates base, April 1, 2020, (V2024)","","6,292",""
"Population estimates base, April 1, 2020, (V2023)","","6,292",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.2%",""
"Population, Census, April 1, 2020","","6,295",""
"Population, Census, April 1, 2010","","6,685",""
"Persons under 5 years, percent","","7.0%",""
"Persons under 18 years, percent","","24.7%",""
"Persons 65 years and over, percent","","24.9%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","97.4%",""
"Black alone, percent (a)","(a)","0.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","0.9%",""
"Hispanic or Latino, percent (b)","(b)","4.2%",""
"White alone, not Hispanic or Latino, percent","","93.7%",""
"Veterans, 2019-2023","","317",""
"Foreign-born persons, percent, 2019-2023","","2.1%",""
"Housing Units, July 1, 2023, (V2023)","","3,158",""
"Owner-occupied housing unit rate, 2019-2023","","75.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$116,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,283",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$516",""
"Median gross rent, 2019-2023","","$746",""
"Building Permits, 2023","","16",""
"Households, 2019-2023","","2,687",""
"Persons per household, 2019-2023","","2.32",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.7%",""
"Households with a computer, percent, 2019-2023","","90.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.3%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,025",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","32,119",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","4,954",""
"Total retail sales, 2022 ($1,000)","(c)","59,154",""
"Total retail sales per capita, 2022","(c)","$9,382",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.8",""
"Median households income (in 2023 dollars), 2019-2023","","$63,750",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,013",""
"Persons in poverty, percent","","10.6%",""
"Total employer establishments, 2022","","223",""
"Total employment, 2022","","1,587",""
"Total annual payroll, 2022 ($1,000)","","75,121",""
"Total employment, percent change, 2021-2022","","6.9%",""
"Total nonemployer establishments, 2022","","666",""
"All employer firms, Reference year 2022","","165",""
"Men-owned employer firms, Reference year 2022","","92",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","146",""
"Veteran-owned employer firms, Reference year 2022","","6",""
"Nonveteran-owned employer firms, Reference year 2022","","140",""
"Population per square mile, 2020","","7.3",""
"Population per square mile, 2010","","7.8",""
"Land area in square miles, 2020","","857.16",""
"Land area in square miles, 2010","","857.22",""
"FIPS Code","","""31003""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
