"Fact","Fact Note","Colfax County, Nebraska","Value Note for Colfax County, Nebraska"
"Population estimates, July 1, 2024, (V2024)","","10,826",""
"Population estimates, July 1, 2023, (V2023)","","10,566",""
"Population estimates base, April 1, 2020, (V2024)","","10,579",""
"Population estimates base, April 1, 2020, (V2023)","","10,580",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","10,582",""
"Population, Census, April 1, 2010","","10,515",""
"Persons under 5 years, percent","","8.3%",""
"Persons under 18 years, percent","","30.4%",""
"Persons 65 years and over, percent","","14.4%",""
"Female persons, percent","","46.3%",""
"White alone, percent","","85.6%",""
"Black alone, percent (a)","(a)","6.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","4.0%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.8%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","48.1%",""
"White alone, not Hispanic or Latino, percent","","44.7%",""
"Veterans, 2019-2023","","480",""
"Foreign-born persons, percent, 2019-2023","","28.8%",""
"Housing Units, July 1, 2023, (V2023)","","4,014",""
"Owner-occupied housing unit rate, 2019-2023","","76.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$128,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,143",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$557",""
"Median gross rent, 2019-2023","","$902",""
"Building Permits, 2023","","35",""
"Households, 2019-2023","","3,639",""
"Persons per household, 2019-2023","","2.87",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","96.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","43.4%",""
"Households with a computer, percent, 2019-2023","","92.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","76.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","4.9%",""
"Persons without health insurance, under age 65 years, percent","","14.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","70.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","65.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","10,671",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","21,864",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","83,112",""
"Total retail sales, 2022 ($1,000)","(c)","144,341",""
"Total retail sales per capita, 2022","(c)","$13,809",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.7",""
"Median households income (in 2023 dollars), 2019-2023","","$79,720",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,757",""
"Persons in poverty, percent","","9.7%",""
"Total employer establishments, 2022","","256",""
"Total employment, 2022","","4,138",""
"Total annual payroll, 2022 ($1,000)","","230,776",""
"Total employment, percent change, 2021-2022","","4.0%",""
"Total nonemployer establishments, 2022","","598",""
"All employer firms, Reference year 2022","","250",""
"Men-owned employer firms, Reference year 2022","","135",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","35",""
"Nonminority-owned employer firms, Reference year 2022","","190",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","221",""
"Population per square mile, 2020","","25.7",""
"Population per square mile, 2010","","25.5",""
"Land area in square miles, 2020","","411.65",""
"Land area in square miles, 2010","","411.66",""
"FIPS Code","","""31037""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
