"Fact","Fact Note","Gosper County, Nebraska","Value Note for Gosper County, Nebraska"
"Population estimates, July 1, 2024, (V2024)","","1,808",""
"Population estimates, July 1, 2023, (V2023)","","1,847",""
"Population estimates base, April 1, 2020, (V2024)","","1,894",""
"Population estimates base, April 1, 2020, (V2023)","","1,895",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-4.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.5%",""
"Population, Census, April 1, 2020","","1,893",""
"Population, Census, April 1, 2010","","2,044",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","21.3%",""
"Persons 65 years and over, percent","","24.5%",""
"Female persons, percent","","47.2%",""
"White alone, percent","","95.9%",""
"Black alone, percent (a)","(a)","1.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","6.4%",""
"White alone, not Hispanic or Latino, percent","","90.0%",""
"Veterans, 2019-2023","","115",""
"Foreign-born persons, percent, 2019-2023","","1.9%",""
"Housing Units, July 1, 2023, (V2023)","","1,172",""
"Owner-occupied housing unit rate, 2019-2023","","82.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$202,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,439",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$570",""
"Median gross rent, 2019-2023","","$797",""
"Building Permits, 2023","","8",""
"Households, 2019-2023","","777",""
"Persons per household, 2019-2023","","2.44",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.7%",""
"Households with a computer, percent, 2019-2023","","95.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.1%",""
"Persons without health insurance, under age 65 years, percent","","8.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","NA",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","408",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","7,336",""
"Total retail sales per capita, 2022","(c)","$3,998",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.8",""
"Median households income (in 2023 dollars), 2019-2023","","$79,145",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,340",""
"Persons in poverty, percent","","8.9%",""
"Total employer establishments, 2022","","63",""
"Total employment, 2022","","251",""
"Total annual payroll, 2022 ($1,000)","","9,357",""
"Total employment, percent change, 2021-2022","","25.5%",""
"Total nonemployer establishments, 2022","","202",""
"All employer firms, Reference year 2022","","S",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","4.1",""
"Population per square mile, 2010","","4.5",""
"Land area in square miles, 2020","","458.16",""
"Land area in square miles, 2010","","458.16",""
"FIPS Code","","""31073""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
