"Fact","Fact Note","Merrick County, Nebraska","Value Note for Merrick County, Nebraska"
"Population estimates, July 1, 2024, (V2024)","","7,837",""
"Population estimates, July 1, 2023, (V2023)","","7,755",""
"Population estimates base, April 1, 2020, (V2024)","","7,663",""
"Population estimates base, April 1, 2020, (V2023)","","7,665",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.2%",""
"Population, Census, April 1, 2020","","7,668",""
"Population, Census, April 1, 2010","","7,845",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","22.7%",""
"Persons 65 years and over, percent","","21.4%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","95.6%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","6.2%",""
"White alone, not Hispanic or Latino, percent","","90.4%",""
"Veterans, 2019-2023","","471",""
"Foreign-born persons, percent, 2019-2023","","2.3%",""
"Housing Units, July 1, 2023, (V2023)","","3,617",""
"Owner-occupied housing unit rate, 2019-2023","","80.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$168,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,246",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$550",""
"Median gross rent, 2019-2023","","$772",""
"Building Permits, 2023","","53",""
"Households, 2019-2023","","3,210",""
"Persons per household, 2019-2023","","2.35",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.3%",""
"Households with a computer, percent, 2019-2023","","92.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.9%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","5,892",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","27,683",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","16,561",""
"Total retail sales, 2022 ($1,000)","(c)","71,711",""
"Total retail sales per capita, 2022","(c)","$9,295",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.6",""
"Median households income (in 2023 dollars), 2019-2023","","$62,849",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,539",""
"Persons in poverty, percent","","9.3%",""
"Total employer establishments, 2022","","241",""
"Total employment, 2022","","1,776",""
"Total annual payroll, 2022 ($1,000)","","81,087",""
"Total employment, percent change, 2021-2022","","-2.5%",""
"Total nonemployer establishments, 2022","","699",""
"All employer firms, Reference year 2022","","209",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","4",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","5",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","15.7",""
"Population per square mile, 2010","","16.2",""
"Land area in square miles, 2020","","487.26",""
"Land area in square miles, 2010","","484.88",""
"FIPS Code","","""31121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
