"Fact","Fact Note","Nance County, Nebraska","Value Note for Nance County, Nebraska"
"Population estimates, July 1, 2024, (V2024)","","3,262",""
"Population estimates, July 1, 2023, (V2023)","","3,274",""
"Population estimates base, April 1, 2020, (V2024)","","3,380",""
"Population estimates base, April 1, 2020, (V2023)","","3,376",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.0%",""
"Population, Census, April 1, 2020","","3,380",""
"Population, Census, April 1, 2010","","3,735",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","23.5%",""
"Persons 65 years and over, percent","","20.8%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","96.9%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","2.8%",""
"White alone, not Hispanic or Latino, percent","","94.3%",""
"Veterans, 2019-2023","","182",""
"Foreign-born persons, percent, 2019-2023","","0.4%",""
"Housing Units, July 1, 2023, (V2023)","","1,609",""
"Owner-occupied housing unit rate, 2019-2023","","78.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$122,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,241",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$448",""
"Median gross rent, 2019-2023","","$776",""
"Building Permits, 2023","","5",""
"Households, 2019-2023","","1,346",""
"Persons per household, 2019-2023","","2.39",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.6%",""
"Households with a computer, percent, 2019-2023","","91.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.2%",""
"Persons without health insurance, under age 65 years, percent","","6.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","8,708",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,599",""
"Total retail sales, 2022 ($1,000)","(c)","32,519",""
"Total retail sales per capita, 2022","(c)","$9,804",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.8",""
"Median households income (in 2023 dollars), 2019-2023","","$65,438",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,738",""
"Persons in poverty, percent","","11.3%",""
"Total employer establishments, 2022","","94",""
"Total employment, 2022","","491",""
"Total annual payroll, 2022 ($1,000)","","16,923",""
"Total employment, percent change, 2021-2022","","15.5%",""
"Total nonemployer establishments, 2022","","255",""
"All employer firms, Reference year 2022","","58",""
"Men-owned employer firms, Reference year 2022","","33",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","40",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","47",""
"Population per square mile, 2020","","7.7",""
"Population per square mile, 2010","","8.5",""
"Land area in square miles, 2020","","441.60",""
"Land area in square miles, 2010","","441.63",""
"FIPS Code","","""31125""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
