"Fact","Fact Note","Phelps County, Nebraska","Value Note for Phelps County, Nebraska"
"Population estimates, July 1, 2024, (V2024)","","9,042",""
"Population estimates, July 1, 2023, (V2023)","","9,057",""
"Population estimates base, April 1, 2020, (V2024)","","8,968",""
"Population estimates base, April 1, 2020, (V2023)","","8,971",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.0%",""
"Population, Census, April 1, 2020","","8,968",""
"Population, Census, April 1, 2010","","9,188",""
"Persons under 5 years, percent","","6.9%",""
"Persons under 18 years, percent","","24.8%",""
"Persons 65 years and over, percent","","20.1%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","96.4%",""
"Black alone, percent (a)","(a)","0.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","7.2%",""
"White alone, not Hispanic or Latino, percent","","90.2%",""
"Veterans, 2019-2023","","550",""
"Foreign-born persons, percent, 2019-2023","","2.6%",""
"Housing Units, July 1, 2023, (V2023)","","4,187",""
"Owner-occupied housing unit rate, 2019-2023","","69.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$173,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,397",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$591",""
"Median gross rent, 2019-2023","","$724",""
"Building Permits, 2023","","11",""
"Households, 2019-2023","","3,819",""
"Persons per household, 2019-2023","","2.29",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.9%",""
"Households with a computer, percent, 2019-2023","","94.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.1%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","111,206",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","19,855",""
"Total retail sales, 2022 ($1,000)","(c)","171,155",""
"Total retail sales per capita, 2022","(c)","$19,043",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","14.6",""
"Median households income (in 2023 dollars), 2019-2023","","$65,988",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,646",""
"Persons in poverty, percent","","8.3%",""
"Total employer establishments, 2022","","347",""
"Total employment, 2022","","3,963",""
"Total annual payroll, 2022 ($1,000)","","215,972",""
"Total employment, percent change, 2021-2022","","-3.4%",""
"Total nonemployer establishments, 2022","","889",""
"All employer firms, Reference year 2022","","270",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","13",""
"Minority-owned employer firms, Reference year 2022","","7",""
"Nonminority-owned employer firms, Reference year 2022","","214",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","178",""
"Population per square mile, 2020","","16.6",""
"Population per square mile, 2010","","17.0",""
"Land area in square miles, 2020","","539.79",""
"Land area in square miles, 2010","","539.79",""
"FIPS Code","","""31137""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
