"Fact","Fact Note","Seward County, Nebraska","Value Note for Seward County, Nebraska"
"Population estimates, July 1, 2024, (V2024)","","17,769",""
"Population estimates, July 1, 2023, (V2023)","","17,671",""
"Population estimates base, April 1, 2020, (V2024)","","17,602",""
"Population estimates base, April 1, 2020, (V2023)","","17,608",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.4%",""
"Population, Census, April 1, 2020","","17,609",""
"Population, Census, April 1, 2010","","16,750",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","18.4%",""
"Female persons, percent","","48.5%",""
"White alone, percent","","96.5%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","3.1%",""
"White alone, not Hispanic or Latino, percent","","93.9%",""
"Veterans, 2019-2023","","883",""
"Foreign-born persons, percent, 2019-2023","","1.1%",""
"Housing Units, July 1, 2023, (V2023)","","7,288",""
"Owner-occupied housing unit rate, 2019-2023","","72.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$232,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,580",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$655",""
"Median gross rent, 2019-2023","","$969",""
"Building Permits, 2023","","54",""
"Households, 2019-2023","","6,645",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.4%",""
"Households with a computer, percent, 2019-2023","","93.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.7%",""
"Persons without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","29,683",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","74,508",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","26,885",""
"Total retail sales, 2022 ($1,000)","(c)","163,089",""
"Total retail sales per capita, 2022","(c)","$9,253",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.6",""
"Median households income (in 2023 dollars), 2019-2023","","$81,122",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,045",""
"Persons in poverty, percent","","6.9%",""
"Total employer establishments, 2022","","489",""
"Total employment, 2022","","5,199",""
"Total annual payroll, 2022 ($1,000)","","248,843",""
"Total employment, percent change, 2021-2022","","0.2%",""
"Total nonemployer establishments, 2022","","1,469",""
"All employer firms, Reference year 2022","","384",""
"Men-owned employer firms, Reference year 2022","","239",""
"Women-owned employer firms, Reference year 2022","","45",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","327",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","314",""
"Population per square mile, 2020","","30.8",""
"Population per square mile, 2010","","29.3",""
"Land area in square miles, 2020","","571.43",""
"Land area in square miles, 2010","","571.43",""
"FIPS Code","","""31159""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
