"Fact","Fact Note","Cibola County, New Mexico","Value Note for Cibola County, New Mexico"
"Population estimates, July 1, 2024, (V2024)","","26,686",""
"Population estimates, July 1, 2023, (V2023)","","26,780",""
"Population estimates base, April 1, 2020, (V2024)","","27,052",""
"Population estimates base, April 1, 2020, (V2023)","","27,175",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.5%",""
"Population, Census, April 1, 2020","","27,172",""
"Population, Census, April 1, 2010","","27,213",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","18.3%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","46.7%",""
"Black alone, percent (a)","(a)","1.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","47.9%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","33.5%",""
"White alone, not Hispanic or Latino, percent","","19.3%",""
"Veterans, 2019-2023","","1,703",""
"Foreign-born persons, percent, 2019-2023","","2.5%",""
"Housing Units, July 1, 2023, (V2023)","","11,335",""
"Owner-occupied housing unit rate, 2019-2023","","70.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$120,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,183",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$293",""
"Median gross rent, 2019-2023","","$724",""
"Building Permits, 2023","","NA",""
"Households, 2019-2023","","8,353",""
"Persons per household, 2019-2023","","3.05",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","35.0%",""
"Households with a computer, percent, 2019-2023","","88.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","73.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.7%",""
"Persons without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","42.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","41.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","100,025",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","169,791",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","9,081",""
"Total retail sales, 2022 ($1,000)","(c)","374,918",""
"Total retail sales per capita, 2022","(c)","$13,953",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.9",""
"Median households income (in 2023 dollars), 2019-2023","","$51,765",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,032",""
"Persons in poverty, percent","","23.7%",""
"Total employer establishments, 2022","","282",""
"Total employment, 2022","","5,137",""
"Total annual payroll, 2022 ($1,000)","","211,180",""
"Total employment, percent change, 2021-2022","","3.6%",""
"Total nonemployer establishments, 2022","","1,117",""
"All employer firms, Reference year 2022","","262",""
"Men-owned employer firms, Reference year 2022","","108",""
"Women-owned employer firms, Reference year 2022","","40",""
"Minority-owned employer firms, Reference year 2022","","71",""
"Nonminority-owned employer firms, Reference year 2022","","93",""
"Veteran-owned employer firms, Reference year 2022","","5",""
"Nonveteran-owned employer firms, Reference year 2022","","193",""
"Population per square mile, 2020","","6.0",""
"Population per square mile, 2010","","6.0",""
"Land area in square miles, 2020","","4,539.98",""
"Land area in square miles, 2010","","4,539.48",""
"FIPS Code","","""35006""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
