"Fact","Fact Note","Eddy County, New Mexico","Value Note for Eddy County, New Mexico"
"Population estimates, July 1, 2024, (V2024)","","61,436",""
"Population estimates, July 1, 2023, (V2023)","","60,275",""
"Population estimates base, April 1, 2020, (V2024)","","62,320",""
"Population estimates base, April 1, 2020, (V2023)","","62,314",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.3%",""
"Population, Census, April 1, 2020","","62,314",""
"Population, Census, April 1, 2010","","53,829",""
"Persons under 5 years, percent","","6.7%",""
"Persons under 18 years, percent","","26.4%",""
"Persons 65 years and over, percent","","15.1%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","92.1%",""
"Black alone, percent (a)","(a)","2.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.7%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","52.1%",""
"White alone, not Hispanic or Latino, percent","","43.4%",""
"Veterans, 2019-2023","","3,003",""
"Foreign-born persons, percent, 2019-2023","","6.3%",""
"Housing Units, July 1, 2023, (V2023)","","27,226",""
"Owner-occupied housing unit rate, 2019-2023","","74.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$199,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,510",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$397",""
"Median gross rent, 2019-2023","","$1,183",""
"Building Permits, 2023","","264",""
"Households, 2019-2023","","23,245",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","25.6%",""
"Households with a computer, percent, 2019-2023","","92.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.7%",""
"Persons without health insurance, under age 65 years, percent","","10.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","242,180",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","328,604",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","322,827",""
"Total retail sales, 2022 ($1,000)","(c)","1,205,472",""
"Total retail sales per capita, 2022","(c)","$20,023",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.9",""
"Median households income (in 2023 dollars), 2019-2023","","$79,605",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,698",""
"Persons in poverty, percent","","16.5%",""
"Total employer establishments, 2022","","1,518",""
"Total employment, 2022","","22,654",""
"Total annual payroll, 2022 ($1,000)","","1,486,063",""
"Total employment, percent change, 2021-2022","","5.3%",""
"Total nonemployer establishments, 2022","","3,172",""
"All employer firms, Reference year 2022","","1,146",""
"Men-owned employer firms, Reference year 2022","","638",""
"Women-owned employer firms, Reference year 2022","","146",""
"Minority-owned employer firms, Reference year 2022","","240",""
"Nonminority-owned employer firms, Reference year 2022","","680",""
"Veteran-owned employer firms, Reference year 2022","","64",""
"Nonveteran-owned employer firms, Reference year 2022","","852",""
"Population per square mile, 2020","","14.9",""
"Population per square mile, 2010","","12.9",""
"Land area in square miles, 2020","","4,176.35",""
"Land area in square miles, 2010","","4,175.73",""
"FIPS Code","","""35015""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
