"Fact","Fact Note","Socorro County, New Mexico","Value Note for Socorro County, New Mexico"
"Population estimates, July 1, 2024, (V2024)","","15,967",""
"Population estimates, July 1, 2023, (V2023)","","15,963",""
"Population estimates base, April 1, 2020, (V2024)","","16,601",""
"Population estimates base, April 1, 2020, (V2023)","","16,594",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.8%",""
"Population, Census, April 1, 2020","","16,595",""
"Population, Census, April 1, 2010","","17,866",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","21.7%",""
"Female persons, percent","","48.6%",""
"White alone, percent","","77.9%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","15.1%",""
"Asian alone, percent (a)","(a)","2.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.2%",""
"Hispanic or Latino, percent (b)","(b)","50.3%",""
"White alone, not Hispanic or Latino, percent","","33.3%",""
"Veterans, 2019-2023","","1,115",""
"Foreign-born persons, percent, 2019-2023","","5.8%",""
"Housing Units, July 1, 2023, (V2023)","","7,756",""
"Owner-occupied housing unit rate, 2019-2023","","73.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$143,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,330",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$414",""
"Median gross rent, 2019-2023","","$653",""
"Building Permits, 2023","","NA",""
"Households, 2019-2023","","5,222",""
"Persons per household, 2019-2023","","2.99",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","37.4%",""
"Households with a computer, percent, 2019-2023","","74.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","59.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","17.4%",""
"Persons without health insurance, under age 65 years, percent","","10.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","44.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","40.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","34,646",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","61,935",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","6,181",""
"Total retail sales, 2022 ($1,000)","(c)","149,418",""
"Total retail sales per capita, 2022","(c)","$9,274",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","14.8",""
"Median households income (in 2023 dollars), 2019-2023","","$47,556",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,898",""
"Persons in poverty, percent","","25.2%",""
"Total employer establishments, 2022","","227",""
"Total employment, 2022","","2,720",""
"Total annual payroll, 2022 ($1,000)","","94,474",""
"Total employment, percent change, 2021-2022","","1.4%",""
"Total nonemployer establishments, 2022","","785",""
"All employer firms, Reference year 2022","","155",""
"Men-owned employer firms, Reference year 2022","","46",""
"Women-owned employer firms, Reference year 2022","","37",""
"Minority-owned employer firms, Reference year 2022","","39",""
"Nonminority-owned employer firms, Reference year 2022","","69",""
"Veteran-owned employer firms, Reference year 2022","","5",""
"Nonveteran-owned employer firms, Reference year 2022","","103",""
"Population per square mile, 2020","","2.5",""
"Population per square mile, 2010","","2.7",""
"Land area in square miles, 2020","","6,646.39",""
"Land area in square miles, 2010","","6,646.68",""
"FIPS Code","","""35053""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
