"Fact","Fact Note","Ontario County, New York","Value Note for Ontario County, New York"
"Population estimates, July 1, 2024, (V2024)","","113,012",""
"Population estimates, July 1, 2023, (V2023)","","112,494",""
"Population estimates base, April 1, 2020, (V2024)","","112,465",""
"Population estimates base, April 1, 2020, (V2023)","","112,485",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","Z",""
"Population, Census, April 1, 2020","","112,458",""
"Population, Census, April 1, 2010","","107,931",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","19.0%",""
"Persons 65 years and over, percent","","23.0%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","92.9%",""
"Black alone, percent (a)","(a)","3.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","5.8%",""
"White alone, not Hispanic or Latino, percent","","88.3%",""
"Veterans, 2019-2023","","6,406",""
"Foreign-born persons, percent, 2019-2023","","4.0%",""
"Housing Units, July 1, 2023, (V2023)","","53,824",""
"Owner-occupied housing unit rate, 2019-2023","","72.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$202,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,611",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$705",""
"Median gross rent, 2019-2023","","$1,126",""
"Building Permits, 2023","","310",""
"Households, 2019-2023","","47,684",""
"Persons per household, 2019-2023","","2.27",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.6%",""
"Households with a computer, percent, 2019-2023","","94.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.8%",""
"Persons without health insurance, under age 65 years, percent","","4.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","446,316",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","954,735",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","244,174",""
"Total retail sales, 2022 ($1,000)","(c)","2,870,577",""
"Total retail sales per capita, 2022","(c)","$25,521",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.4",""
"Median households income (in 2023 dollars), 2019-2023","","$79,814",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$44,500",""
"Persons in poverty, percent","","8.2%",""
"Total employer establishments, 2022","","2,906",""
"Total employment, 2022","","46,524",""
"Total annual payroll, 2022 ($1,000)","","2,509,307",""
"Total employment, percent change, 2021-2022","","8.0%",""
"Total nonemployer establishments, 2022","","7,915",""
"All employer firms, Reference year 2022","","2,495",""
"Men-owned employer firms, Reference year 2022","","1,523",""
"Women-owned employer firms, Reference year 2022","","450",""
"Minority-owned employer firms, Reference year 2022","","168",""
"Nonminority-owned employer firms, Reference year 2022","","1,946",""
"Veteran-owned employer firms, Reference year 2022","","136",""
"Nonveteran-owned employer firms, Reference year 2022","","2,008",""
"Population per square mile, 2020","","174.6",""
"Population per square mile, 2010","","167.6",""
"Land area in square miles, 2020","","644.08",""
"Land area in square miles, 2010","","644.07",""
"FIPS Code","","""36069""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
