"Fact","Fact Note","Wyoming County, New York","Value Note for Wyoming County, New York"
"Population estimates, July 1, 2024, (V2024)","","39,588",""
"Population estimates, July 1, 2023, (V2023)","","39,532",""
"Population estimates base, April 1, 2020, (V2024)","","40,545",""
"Population estimates base, April 1, 2020, (V2023)","","40,544",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.5%",""
"Population, Census, April 1, 2020","","40,531",""
"Population, Census, April 1, 2010","","42,155",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","18.3%",""
"Persons 65 years and over, percent","","21.1%",""
"Female persons, percent","","46.2%",""
"White alone, percent","","93.1%",""
"Black alone, percent (a)","(a)","4.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent (b)","(b)","3.7%",""
"White alone, not Hispanic or Latino, percent","","90.3%",""
"Veterans, 2019-2023","","2,354",""
"Foreign-born persons, percent, 2019-2023","","2.5%",""
"Housing Units, July 1, 2023, (V2023)","","18,314",""
"Owner-occupied housing unit rate, 2019-2023","","77.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$154,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,429",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$584",""
"Median gross rent, 2019-2023","","$782",""
"Building Permits, 2023","","43",""
"Households, 2019-2023","","16,263",""
"Persons per household, 2019-2023","","2.29",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.1%",""
"Households with a computer, percent, 2019-2023","","91.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.8%",""
"Persons without health insurance, under age 65 years, percent","","4.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","47,421",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","141,238",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","46,590",""
"Total retail sales, 2022 ($1,000)","(c)","420,728",""
"Total retail sales per capita, 2022","(c)","$10,624",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.3",""
"Median households income (in 2023 dollars), 2019-2023","","$68,913",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,185",""
"Persons in poverty, percent","","10.6%",""
"Total employer establishments, 2022","","767",""
"Total employment, 2022","","8,078",""
"Total annual payroll, 2022 ($1,000)","","373,835",""
"Total employment, percent change, 2021-2022","","-10.5%",""
"Total nonemployer establishments, 2022","","2,114",""
"All employer firms, Reference year 2022","","565",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","466",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","425",""
"Population per square mile, 2020","","68.4",""
"Population per square mile, 2010","","71.1",""
"Land area in square miles, 2020","","592.75",""
"Land area in square miles, 2010","","592.75",""
"FIPS Code","","""36121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
