"Fact","Fact Note","Alleghany County, North Carolina","Value Note for Alleghany County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","11,379",""
"Population estimates, July 1, 2023, (V2023)","","11,342",""
"Population estimates base, April 1, 2020, (V2024)","","10,877",""
"Population estimates base, April 1, 2020, (V2023)","","10,883",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.2%",""
"Population, Census, April 1, 2020","","10,888",""
"Population, Census, April 1, 2010","","11,155",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","16.9%",""
"Persons 65 years and over, percent","","29.1%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","93.8%",""
"Black alone, percent (a)","(a)","2.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","11.5%",""
"White alone, not Hispanic or Latino, percent","","83.9%",""
"Veterans, 2019-2023","","760",""
"Foreign-born persons, percent, 2019-2023","","6.1%",""
"Housing Units, July 1, 2023, (V2023)","","7,862",""
"Owner-occupied housing unit rate, 2019-2023","","77.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$199,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,273",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$363",""
"Median gross rent, 2019-2023","","$755",""
"Building Permits, 2023","","83",""
"Households, 2019-2023","","5,049",""
"Persons per household, 2019-2023","","2.15",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.4%",""
"Households with a computer, percent, 2019-2023","","89.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.8%",""
"Persons without health insurance, under age 65 years, percent","","17.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","47.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","44.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","17,373",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","34,779",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","104,084",""
"Total retail sales per capita, 2022","(c)","$9,299",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.8",""
"Median households income (in 2023 dollars), 2019-2023","","$44,272",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,059",""
"Persons in poverty, percent","","16.3%",""
"Total employer establishments, 2022","","263",""
"Total employment, 2022","","2,253",""
"Total annual payroll, 2022 ($1,000)","","80,213",""
"Total employment, percent change, 2021-2022","","4.2%",""
"Total nonemployer establishments, 2022","","1,021",""
"All employer firms, Reference year 2022","","175",""
"Men-owned employer firms, Reference year 2022","","47",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","106",""
"Veteran-owned employer firms, Reference year 2022","","3",""
"Nonveteran-owned employer firms, Reference year 2022","","122",""
"Population per square mile, 2020","","46.4",""
"Population per square mile, 2010","","47.5",""
"Land area in square miles, 2020","","234.84",""
"Land area in square miles, 2010","","235.06",""
"FIPS Code","","""37005""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
