"Fact","Fact Note","Dare County, North Carolina","Value Note for Dare County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","38,183",""
"Population estimates, July 1, 2023, (V2023)","","38,110",""
"Population estimates base, April 1, 2020, (V2024)","","36,912",""
"Population estimates base, April 1, 2020, (V2023)","","36,913",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.2%",""
"Population, Census, April 1, 2020","","36,915",""
"Population, Census, April 1, 2010","","33,920",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","17.4%",""
"Persons 65 years and over, percent","","25.5%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","93.3%",""
"Black alone, percent (a)","(a)","2.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","7.3%",""
"White alone, not Hispanic or Latino, percent","","87.0%",""
"Veterans, 2019-2023","","2,732",""
"Foreign-born persons, percent, 2019-2023","","4.9%",""
"Housing Units, July 1, 2023, (V2023)","","35,795",""
"Owner-occupied housing unit rate, 2019-2023","","77.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$425,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,951",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$640",""
"Median gross rent, 2019-2023","","$1,307",""
"Building Permits, 2023","","430",""
"Households, 2019-2023","","16,483",""
"Persons per household, 2019-2023","","2.26",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.2%",""
"Households with a computer, percent, 2019-2023","","97.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","42.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.3%",""
"Persons without health insurance, under age 65 years, percent","","11.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","503,939",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","205,903",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","18,927",""
"Total retail sales, 2022 ($1,000)","(c)","1,373,397",""
"Total retail sales per capita, 2022","(c)","$36,154",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.0",""
"Median households income (in 2023 dollars), 2019-2023","","$81,214",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,784",""
"Persons in poverty, percent","","8.9%",""
"Total employer establishments, 2022","","2,066",""
"Total employment, 2022","","16,031",""
"Total annual payroll, 2022 ($1,000)","","682,180",""
"Total employment, percent change, 2021-2022","","7.1%",""
"Total nonemployer establishments, 2022","","5,914",""
"All employer firms, Reference year 2022","","1,678",""
"Men-owned employer firms, Reference year 2022","","707",""
"Women-owned employer firms, Reference year 2022","","454",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,412",""
"Veteran-owned employer firms, Reference year 2022","","53",""
"Nonveteran-owned employer firms, Reference year 2022","","1,406",""
"Population per square mile, 2020","","96.3",""
"Population per square mile, 2010","","88.5",""
"Land area in square miles, 2020","","383.23",""
"Land area in square miles, 2010","","383.42",""
"FIPS Code","","""37055""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
