"Fact","Fact Note","Davidson County, North Carolina","Value Note for Davidson County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","177,809",""
"Population estimates, July 1, 2023, (V2023)","","174,804",""
"Population estimates base, April 1, 2020, (V2024)","","168,925",""
"Population estimates base, April 1, 2020, (V2023)","","168,927",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.5%",""
"Population, Census, April 1, 2020","","168,930",""
"Population, Census, April 1, 2010","","162,878",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","21.4%",""
"Persons 65 years and over, percent","","19.4%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","83.8%",""
"Black alone, percent (a)","(a)","11.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","2.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","9.2%",""
"White alone, not Hispanic or Latino, percent","","76.3%",""
"Veterans, 2019-2023","","9,869",""
"Foreign-born persons, percent, 2019-2023","","5.7%",""
"Housing Units, July 1, 2023, (V2023)","","77,339",""
"Owner-occupied housing unit rate, 2019-2023","","73.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$200,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,305",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$398",""
"Median gross rent, 2019-2023","","$863",""
"Building Permits, 2023","","1,077",""
"Households, 2019-2023","","68,512",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.0%",""
"Households with a computer, percent, 2019-2023","","93.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.7%",""
"Persons without health insurance, under age 65 years, percent","","12.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","304,660",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","743,039",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","377,840",""
"Total retail sales, 2022 ($1,000)","(c)","2,149,591",""
"Total retail sales per capita, 2022","(c)","$12,470",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.4",""
"Median households income (in 2023 dollars), 2019-2023","","$62,426",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,759",""
"Persons in poverty, percent","","14.0%",""
"Total employer establishments, 2022","","2,940",""
"Total employment, 2022","","41,676",""
"Total annual payroll, 2022 ($1,000)","","1,940,199",""
"Total employment, percent change, 2021-2022","","8.2%",""
"Total nonemployer establishments, 2022","","13,148",""
"All employer firms, Reference year 2022","","2,579",""
"Men-owned employer firms, Reference year 2022","","1,713",""
"Women-owned employer firms, Reference year 2022","","376",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","2,116",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,141",""
"Population per square mile, 2020","","305.4",""
"Population per square mile, 2010","","294.7",""
"Land area in square miles, 2020","","553.18",""
"Land area in square miles, 2010","","552.68",""
"FIPS Code","","""37057""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
