"Fact","Fact Note","Guilford County, North Carolina","Value Note for Guilford County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","558,816",""
"Population estimates, July 1, 2023, (V2023)","","549,866",""
"Population estimates base, April 1, 2020, (V2024)","","541,242",""
"Population estimates base, April 1, 2020, (V2023)","","541,297",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.6%",""
"Population, Census, April 1, 2020","","541,299",""
"Population, Census, April 1, 2010","","488,406",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","21.8%",""
"Persons 65 years and over, percent","","16.3%",""
"Female persons, percent","","52.6%",""
"White alone, percent","","54.2%",""
"Black alone, percent (a)","(a)","36.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","5.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","10.2%",""
"White alone, not Hispanic or Latino, percent","","46.4%",""
"Veterans, 2019-2023","","25,442",""
"Foreign-born persons, percent, 2019-2023","","11.4%",""
"Housing Units, July 1, 2023, (V2023)","","240,347",""
"Owner-occupied housing unit rate, 2019-2023","","60.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$234,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,480",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$491",""
"Median gross rent, 2019-2023","","$1,108",""
"Building Permits, 2023","","2,781",""
"Households, 2019-2023","","215,807",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","15.9%",""
"Households with a computer, percent, 2019-2023","","94.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","38.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.5%",""
"Persons without health insurance, under age 65 years, percent","","10.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,815,918",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","5,806,538",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,500,995",""
"Total retail sales, 2022 ($1,000)","(c)","11,504,478",""
"Total retail sales per capita, 2022","(c)","$21,053",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.5",""
"Median households income (in 2023 dollars), 2019-2023","","$66,027",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,845",""
"Persons in poverty, percent","","14.8%",""
"Total employer establishments, 2022","","14,342",""
"Total employment, 2022","","266,807",""
"Total annual payroll, 2022 ($1,000)","","14,761,685",""
"Total employment, percent change, 2021-2022","","3.4%",""
"Total nonemployer establishments, 2022","","48,987",""
"All employer firms, Reference year 2022","","10,206",""
"Men-owned employer firms, Reference year 2022","","5,940",""
"Women-owned employer firms, Reference year 2022","","2,002",""
"Minority-owned employer firms, Reference year 2022","","1,805",""
"Nonminority-owned employer firms, Reference year 2022","","6,976",""
"Veteran-owned employer firms, Reference year 2022","","517",""
"Nonveteran-owned employer firms, Reference year 2022","","8,137",""
"Population per square mile, 2020","","838.0",""
"Population per square mile, 2010","","756.4",""
"Land area in square miles, 2020","","645.92",""
"Land area in square miles, 2010","","645.70",""
"FIPS Code","","""37081""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
