"Fact","Fact Note","Hertford County, North Carolina","Value Note for Hertford County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","19,169",""
"Population estimates, July 1, 2023, (V2023)","","19,453",""
"Population estimates base, April 1, 2020, (V2024)","","21,553",""
"Population estimates base, April 1, 2020, (V2023)","","21,553",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-11.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-9.7%",""
"Population, Census, April 1, 2020","","21,552",""
"Population, Census, April 1, 2010","","24,669",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","19.3%",""
"Persons 65 years and over, percent","","23.1%",""
"Female persons, percent","","51.8%",""
"White alone, percent","","35.9%",""
"Black alone, percent (a)","(a)","58.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.9%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","6.2%",""
"White alone, not Hispanic or Latino, percent","","32.8%",""
"Veterans, 2019-2023","","1,389",""
"Foreign-born persons, percent, 2019-2023","","4.5%",""
"Housing Units, July 1, 2023, (V2023)","","9,857",""
"Owner-occupied housing unit rate, 2019-2023","","66.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$111,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,198",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$505",""
"Median gross rent, 2019-2023","","$806",""
"Building Permits, 2023","","3",""
"Households, 2019-2023","","8,329",""
"Persons per household, 2019-2023","","2.24",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.6%",""
"Households with a computer, percent, 2019-2023","","85.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.8%",""
"Persons without health insurance, under age 65 years, percent","","11.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","51.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","36,171",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","230,918",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","58,197",""
"Total retail sales, 2022 ($1,000)","(c)","326,713",""
"Total retail sales per capita, 2022","(c)","$16,640",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.8",""
"Median households income (in 2023 dollars), 2019-2023","","$47,472",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$27,562",""
"Persons in poverty, percent","","22.7%",""
"Total employer establishments, 2022","","464",""
"Total employment, 2022","","7,390",""
"Total annual payroll, 2022 ($1,000)","","348,083",""
"Total employment, percent change, 2021-2022","","-3.9%",""
"Total nonemployer establishments, 2022","","1,186",""
"All employer firms, Reference year 2022","","285",""
"Men-owned employer firms, Reference year 2022","","164",""
"Women-owned employer firms, Reference year 2022","","26",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","142",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","174",""
"Population per square mile, 2020","","61.0",""
"Population per square mile, 2010","","69.9",""
"Land area in square miles, 2020","","353.16",""
"Land area in square miles, 2010","","353.06",""
"FIPS Code","","""37091""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
