"Fact","Fact Note","Nash County, North Carolina","Value Note for Nash County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","97,990",""
"Population estimates, July 1, 2023, (V2023)","","96,551",""
"Population estimates base, April 1, 2020, (V2024)","","94,964",""
"Population estimates base, April 1, 2020, (V2023)","","94,967",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.7%",""
"Population, Census, April 1, 2020","","94,970",""
"Population, Census, April 1, 2010","","95,840",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.9%",""
"Persons 65 years and over, percent","","19.8%",""
"Female persons, percent","","51.9%",""
"White alone, percent","","53.4%",""
"Black alone, percent (a)","(a)","42.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","8.4%",""
"White alone, not Hispanic or Latino, percent","","46.8%",""
"Veterans, 2019-2023","","5,564",""
"Foreign-born persons, percent, 2019-2023","","4.0%",""
"Housing Units, July 1, 2023, (V2023)","","44,132",""
"Owner-occupied housing unit rate, 2019-2023","","63.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$171,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,318",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$486",""
"Median gross rent, 2019-2023","","$924",""
"Building Permits, 2023","","535",""
"Households, 2019-2023","","38,123",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.2%",""
"Households with a computer, percent, 2019-2023","","91.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.0%",""
"Persons without health insurance, under age 65 years, percent","","14.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","247,733",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","691,902",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","274,200",""
"Total retail sales, 2022 ($1,000)","(c)","1,852,855",""
"Total retail sales per capita, 2022","(c)","$19,337",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.7",""
"Median households income (in 2023 dollars), 2019-2023","","$60,704",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,336",""
"Persons in poverty, percent","","14.4%",""
"Total employer establishments, 2022","","2,097",""
"Total employment, 2022","","37,633",""
"Total annual payroll, 2022 ($1,000)","","1,713,341",""
"Total employment, percent change, 2021-2022","","2.6%",""
"Total nonemployer establishments, 2022","","6,920",""
"All employer firms, Reference year 2022","","1,680",""
"Men-owned employer firms, Reference year 2022","","943",""
"Women-owned employer firms, Reference year 2022","","293",""
"Minority-owned employer firms, Reference year 2022","","251",""
"Nonminority-owned employer firms, Reference year 2022","","1,093",""
"Veteran-owned employer firms, Reference year 2022","","86",""
"Nonveteran-owned employer firms, Reference year 2022","","1,266",""
"Population per square mile, 2020","","175.7",""
"Population per square mile, 2010","","177.3",""
"Land area in square miles, 2020","","540.44",""
"Land area in square miles, 2010","","540.41",""
"FIPS Code","","""37127""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
