"Fact","Fact Note","Pender County, North Carolina","Value Note for Pender County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","70,077",""
"Population estimates, July 1, 2023, (V2023)","","68,521",""
"Population estimates base, April 1, 2020, (V2024)","","60,211",""
"Population estimates base, April 1, 2020, (V2023)","","60,199",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","16.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","13.8%",""
"Population, Census, April 1, 2020","","60,203",""
"Population, Census, April 1, 2010","","52,217",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","22.5%",""
"Persons 65 years and over, percent","","18.2%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","83.0%",""
"Black alone, percent (a)","(a)","12.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","8.8%",""
"White alone, not Hispanic or Latino, percent","","75.9%",""
"Veterans, 2019-2023","","4,715",""
"Foreign-born persons, percent, 2019-2023","","4.1%",""
"Housing Units, July 1, 2023, (V2023)","","32,794",""
"Owner-occupied housing unit rate, 2019-2023","","81.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$267,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,737",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$513",""
"Median gross rent, 2019-2023","","$1,072",""
"Building Permits, 2023","","1,082",""
"Households, 2019-2023","","24,152",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.5%",""
"Households with a computer, percent, 2019-2023","","94.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","29.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.4%",""
"Persons without health insurance, under age 65 years, percent","","11.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","123,552",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","169,468",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","43,804",""
"Total retail sales, 2022 ($1,000)","(c)","711,627",""
"Total retail sales per capita, 2022","(c)","$10,832",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.8",""
"Median households income (in 2023 dollars), 2019-2023","","$76,838",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,296",""
"Persons in poverty, percent","","11.4%",""
"Total employer establishments, 2022","","1,389",""
"Total employment, 2022","","10,814",""
"Total annual payroll, 2022 ($1,000)","","404,449",""
"Total employment, percent change, 2021-2022","","5.7%",""
"Total nonemployer establishments, 2022","","6,019",""
"All employer firms, Reference year 2022","","1,140",""
"Men-owned employer firms, Reference year 2022","","718",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","989",""
"Veteran-owned employer firms, Reference year 2022","","118",""
"Nonveteran-owned employer firms, Reference year 2022","","890",""
"Population per square mile, 2020","","69.1",""
"Population per square mile, 2010","","60.0",""
"Land area in square miles, 2020","","871.30",""
"Land area in square miles, 2010","","869.80",""
"FIPS Code","","""37141""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
