"Fact","Fact Note","Randolph County, North Carolina","Value Note for Randolph County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","148,389",""
"Population estimates, July 1, 2023, (V2023)","","147,458",""
"Population estimates base, April 1, 2020, (V2024)","","144,148",""
"Population estimates base, April 1, 2020, (V2023)","","144,147",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.3%",""
"Population, Census, April 1, 2020","","144,171",""
"Population, Census, April 1, 2010","","141,752",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","22.1%",""
"Persons 65 years and over, percent","","18.7%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","87.3%",""
"Black alone, percent (a)","(a)","7.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","14.3%",""
"White alone, not Hispanic or Latino, percent","","75.0%",""
"Veterans, 2019-2023","","7,554",""
"Foreign-born persons, percent, 2019-2023","","6.1%",""
"Housing Units, July 1, 2023, (V2023)","","63,305",""
"Owner-occupied housing unit rate, 2019-2023","","72.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$171,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,218",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$381",""
"Median gross rent, 2019-2023","","$857",""
"Building Permits, 2023","","447",""
"Households, 2019-2023","","56,970",""
"Persons per household, 2019-2023","","2.52",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","13.4%",""
"Households with a computer, percent, 2019-2023","","92.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.4%",""
"Persons without health insurance, under age 65 years, percent","","13.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","252,189",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","455,935",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","204,805",""
"Total retail sales, 2022 ($1,000)","(c)","1,802,701",""
"Total retail sales per capita, 2022","(c)","$12,331",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.6",""
"Median households income (in 2023 dollars), 2019-2023","","$59,047",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,706",""
"Persons in poverty, percent","","15.5%",""
"Total employer establishments, 2022","","2,639",""
"Total employment, 2022","","40,499",""
"Total annual payroll, 2022 ($1,000)","","1,714,627",""
"Total employment, percent change, 2021-2022","","5.2%",""
"Total nonemployer establishments, 2022","","10,992",""
"All employer firms, Reference year 2022","","2,011",""
"Men-owned employer firms, Reference year 2022","","1,260",""
"Women-owned employer firms, Reference year 2022","","224",""
"Minority-owned employer firms, Reference year 2022","","199",""
"Nonminority-owned employer firms, Reference year 2022","","1,564",""
"Veteran-owned employer firms, Reference year 2022","","101",""
"Nonveteran-owned employer firms, Reference year 2022","","1,628",""
"Population per square mile, 2020","","184.3",""
"Population per square mile, 2010","","181.1",""
"Land area in square miles, 2020","","782.34",""
"Land area in square miles, 2010","","782.52",""
"FIPS Code","","""37151""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
