"Fact","Fact Note","Vance County, North Carolina","Value Note for Vance County, North Carolina"
"Population estimates, July 1, 2024, (V2024)","","42,337",""
"Population estimates, July 1, 2023, (V2023)","","42,301",""
"Population estimates base, April 1, 2020, (V2024)","","42,585",""
"Population estimates base, April 1, 2020, (V2023)","","42,569",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.6%",""
"Population, Census, April 1, 2020","","42,578",""
"Population, Census, April 1, 2010","","45,422",""
"Persons under 5 years, percent","","6.5%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","19.8%",""
"Female persons, percent","","53.3%",""
"White alone, percent","","44.7%",""
"Black alone, percent (a)","(a)","51.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","9.8%",""
"White alone, not Hispanic or Latino, percent","","37.4%",""
"Veterans, 2019-2023","","2,210",""
"Foreign-born persons, percent, 2019-2023","","4.9%",""
"Housing Units, July 1, 2023, (V2023)","","19,597",""
"Owner-occupied housing unit rate, 2019-2023","","57.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$146,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,232",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$441",""
"Median gross rent, 2019-2023","","$860",""
"Building Permits, 2023","","72",""
"Households, 2019-2023","","16,081",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.2%",""
"Households with a computer, percent, 2019-2023","","89.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.4%",""
"Persons without health insurance, under age 65 years, percent","","13.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","81,265",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","254,498",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","43,684",""
"Total retail sales, 2022 ($1,000)","(c)","742,891",""
"Total retail sales per capita, 2022","(c)","$17,623",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.4",""
"Median households income (in 2023 dollars), 2019-2023","","$46,943",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$27,223",""
"Persons in poverty, percent","","23.2%",""
"Total employer establishments, 2022","","865",""
"Total employment, 2022","","12,861",""
"Total annual payroll, 2022 ($1,000)","","527,117",""
"Total employment, percent change, 2021-2022","","Z",""
"Total nonemployer establishments, 2022","","2,727",""
"All employer firms, Reference year 2022","","681",""
"Men-owned employer firms, Reference year 2022","","379",""
"Women-owned employer firms, Reference year 2022","","136",""
"Minority-owned employer firms, Reference year 2022","","143",""
"Nonminority-owned employer firms, Reference year 2022","","386",""
"Veteran-owned employer firms, Reference year 2022","","20",""
"Nonveteran-owned employer firms, Reference year 2022","","512",""
"Population per square mile, 2020","","168.7",""
"Population per square mile, 2010","","179.2",""
"Land area in square miles, 2020","","252.40",""
"Land area in square miles, 2010","","253.52",""
"FIPS Code","","""37181""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
