"Fact","Fact Note","Billings County, North Dakota","Value Note for Billings County, North Dakota"
"Population estimates, July 1, 2024, (V2024)","","1,063",""
"Population estimates, July 1, 2023, (V2023)","","1,034",""
"Population estimates base, April 1, 2020, (V2024)","","947",""
"Population estimates base, April 1, 2020, (V2023)","","946",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","12.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","9.3%",""
"Population, Census, April 1, 2020","","945",""
"Population, Census, April 1, 2010","","783",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","21.5%",""
"Persons 65 years and over, percent","","25.2%",""
"Female persons, percent","","46.2%",""
"White alone, percent","","93.9%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","3.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","0.6%",""
"Hispanic or Latino, percent (b)","(b)","2.8%",""
"White alone, not Hispanic or Latino, percent","","91.9%",""
"Veterans, 2019-2023","","56",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","609",""
"Owner-occupied housing unit rate, 2019-2023","","81.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$322,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,875",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$575",""
"Median gross rent, 2019-2023","","$630",""
"Building Permits, 2023","","7",""
"Households, 2019-2023","","372",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","95.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.1%",""
"Households with a computer, percent, 2019-2023","","89.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","32.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","2.3%",""
"Persons without health insurance, under age 65 years, percent","","7.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","20,217",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","NA",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","D",""
"Total retail sales per capita, 2022","(c)","NA",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.0",""
"Median households income (in 2023 dollars), 2019-2023","","$81,250",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$42,078",""
"Persons in poverty, percent","","10.5%",""
"Total employer establishments, 2022","","59",""
"Total employment, 2022","","305",""
"Total annual payroll, 2022 ($1,000)","","26,158",""
"Total employment, percent change, 2021-2022","","16.0%",""
"Total nonemployer establishments, 2022","","112",""
"All employer firms, Reference year 2022","","50",""
"Men-owned employer firms, Reference year 2022","","14",""
"Women-owned employer firms, Reference year 2022","","6",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","42",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","41",""
"Population per square mile, 2020","","0.8",""
"Population per square mile, 2010","","0.7",""
"Land area in square miles, 2020","","1,148.49",""
"Land area in square miles, 2010","","1,148.85",""
"FIPS Code","","""38007""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
