"Fact","Fact Note","Cavalier County, North Dakota","Value Note for Cavalier County, North Dakota"
"Population estimates, July 1, 2024, (V2024)","","3,567",""
"Population estimates, July 1, 2023, (V2023)","","3,596",""
"Population estimates base, April 1, 2020, (V2024)","","3,710",""
"Population estimates base, April 1, 2020, (V2023)","","3,716",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.2%",""
"Population, Census, April 1, 2020","","3,704",""
"Population, Census, April 1, 2010","","3,993",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","22.9%",""
"Persons 65 years and over, percent","","27.8%",""
"Female persons, percent","","47.1%",""
"White alone, percent","","95.0%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.0%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","2.5%",""
"White alone, not Hispanic or Latino, percent","","92.8%",""
"Veterans, 2019-2023","","175",""
"Foreign-born persons, percent, 2019-2023","","2.0%",""
"Housing Units, July 1, 2023, (V2023)","","2,106",""
"Owner-occupied housing unit rate, 2019-2023","","82.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$122,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,261",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$597",""
"Median gross rent, 2019-2023","","$859",""
"Building Permits, 2023","","3",""
"Households, 2019-2023","","1,539",""
"Persons per household, 2019-2023","","2.32",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.4%",""
"Households with a computer, percent, 2019-2023","","91.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.8%",""
"Persons without health insurance, under age 65 years, percent","","5.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","5,529",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","23,942",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","25,918",""
"Total retail sales, 2022 ($1,000)","(c)","123,092",""
"Total retail sales per capita, 2022","(c)","$34,116",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.4",""
"Median households income (in 2023 dollars), 2019-2023","","$67,064",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$45,550",""
"Persons in poverty, percent","","9.2%",""
"Total employer establishments, 2022","","132",""
"Total employment, 2022","","1,101",""
"Total annual payroll, 2022 ($1,000)","","58,242",""
"Total employment, percent change, 2021-2022","","2.4%",""
"Total nonemployer establishments, 2022","","344",""
"All employer firms, Reference year 2022","","137",""
"Men-owned employer firms, Reference year 2022","","77",""
"Women-owned employer firms, Reference year 2022","","14",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","113",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","113",""
"Population per square mile, 2020","","2.5",""
"Population per square mile, 2010","","2.7",""
"Land area in square miles, 2020","","1,489.13",""
"Land area in square miles, 2010","","1,488.75",""
"FIPS Code","","""38019""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
