"Fact","Fact Note","Grand Forks County, North Dakota","Value Note for Grand Forks County, North Dakota"
"Population estimates, July 1, 2024, (V2024)","","73,771",""
"Population estimates, July 1, 2023, (V2023)","","72,708",""
"Population estimates base, April 1, 2020, (V2024)","","73,169",""
"Population estimates base, April 1, 2020, (V2023)","","73,181",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.6%",""
"Population, Census, April 1, 2020","","73,170",""
"Population, Census, April 1, 2010","","66,861",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","14.8%",""
"Female persons, percent","","48.6%",""
"White alone, percent","","86.9%",""
"Black alone, percent (a)","(a)","4.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.9%",""
"Asian alone, percent (a)","(a)","2.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","5.7%",""
"White alone, not Hispanic or Latino, percent","","82.5%",""
"Veterans, 2019-2023","","4,361",""
"Foreign-born persons, percent, 2019-2023","","5.8%",""
"Housing Units, July 1, 2023, (V2023)","","34,070",""
"Owner-occupied housing unit rate, 2019-2023","","52.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$244,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,709",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$627",""
"Median gross rent, 2019-2023","","$971",""
"Building Permits, 2023","","110",""
"Households, 2019-2023","","31,045",""
"Persons per household, 2019-2023","","2.20",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","76.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.8%",""
"Households with a computer, percent, 2019-2023","","95.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.8%",""
"Persons without health insurance, under age 65 years, percent","","6.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","66.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","227,083",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,000,933",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","354,358",""
"Total retail sales, 2022 ($1,000)","(c)","2,104,385",""
"Total retail sales per capita, 2022","(c)","$29,058",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","15.9",""
"Median households income (in 2023 dollars), 2019-2023","","$68,450",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,597",""
"Persons in poverty, percent","","12.5%",""
"Total employer establishments, 2022","","1,876",""
"Total employment, 2022","","31,633",""
"Total annual payroll, 2022 ($1,000)","","1,596,793",""
"Total employment, percent change, 2021-2022","","5.4%",""
"Total nonemployer establishments, 2022","","4,457",""
"All employer firms, Reference year 2022","","1,640",""
"Men-owned employer firms, Reference year 2022","","959",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","69",""
"Nonminority-owned employer firms, Reference year 2022","","1,296",""
"Veteran-owned employer firms, Reference year 2022","","77",""
"Nonveteran-owned employer firms, Reference year 2022","","1,255",""
"Population per square mile, 2020","","50.9",""
"Population per square mile, 2010","","46.5",""
"Land area in square miles, 2020","","1,436.23",""
"Land area in square miles, 2010","","1,436.38",""
"FIPS Code","","""38035""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
