"Fact","Fact Note","Wells County, North Dakota","Value Note for Wells County, North Dakota"
"Population estimates, July 1, 2024, (V2024)","","3,803",""
"Population estimates, July 1, 2023, (V2023)","","3,876",""
"Population estimates base, April 1, 2020, (V2024)","","3,982",""
"Population estimates base, April 1, 2020, (V2023)","","3,987",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-4.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.8%",""
"Population, Census, April 1, 2020","","3,982",""
"Population, Census, April 1, 2010","","4,207",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","28.8%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","97.1%",""
"Black alone, percent (a)","(a)","0.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","1.7%",""
"White alone, not Hispanic or Latino, percent","","95.7%",""
"Veterans, 2019-2023","","177",""
"Foreign-born persons, percent, 2019-2023","","0.6%",""
"Housing Units, July 1, 2023, (V2023)","","2,333",""
"Owner-occupied housing unit rate, 2019-2023","","73.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$106,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,311",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$498",""
"Median gross rent, 2019-2023","","$630",""
"Building Permits, 2023","","1",""
"Households, 2019-2023","","1,808",""
"Persons per household, 2019-2023","","2.12",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.5%",""
"Households with a computer, percent, 2019-2023","","90.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.7%",""
"Persons without health insurance, under age 65 years, percent","","6.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,617",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","34,628",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,242",""
"Total retail sales, 2022 ($1,000)","(c)","61,998",""
"Total retail sales per capita, 2022","(c)","$15,808",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","14.8",""
"Median households income (in 2023 dollars), 2019-2023","","$61,346",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$42,252",""
"Persons in poverty, percent","","12.1%",""
"Total employer establishments, 2022","","172",""
"Total employment, 2022","","1,142",""
"Total annual payroll, 2022 ($1,000)","","49,895",""
"Total employment, percent change, 2021-2022","","-6.4%",""
"Total nonemployer establishments, 2022","","344",""
"All employer firms, Reference year 2022","","121",""
"Men-owned employer firms, Reference year 2022","","65",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","107",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","93",""
"Population per square mile, 2020","","3.1",""
"Population per square mile, 2010","","3.3",""
"Land area in square miles, 2020","","1,270.53",""
"Land area in square miles, 2010","","1,271.05",""
"FIPS Code","","""38103""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
