"Fact","Fact Note","Fayette County, Ohio","Value Note for Fayette County, Ohio"
"Population estimates, July 1, 2024, (V2024)","","28,782",""
"Population estimates, July 1, 2023, (V2023)","","28,817",""
"Population estimates base, April 1, 2020, (V2024)","","28,948",""
"Population estimates base, April 1, 2020, (V2023)","","28,948",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.5%",""
"Population, Census, April 1, 2020","","28,951",""
"Population, Census, April 1, 2010","","29,030",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","23.5%",""
"Persons 65 years and over, percent","","18.4%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","93.3%",""
"Black alone, percent (a)","(a)","2.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","2.5%",""
"White alone, not Hispanic or Latino, percent","","91.2%",""
"Veterans, 2019-2023","","1,342",""
"Foreign-born persons, percent, 2019-2023","","1.7%",""
"Housing Units, July 1, 2023, (V2023)","","12,754",""
"Owner-occupied housing unit rate, 2019-2023","","63.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$162,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,199",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$456",""
"Median gross rent, 2019-2023","","$807",""
"Building Permits, 2023","","64",""
"Households, 2019-2023","","11,635",""
"Persons per household, 2019-2023","","2.45",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.6%",""
"Households with a computer, percent, 2019-2023","","92.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.0%",""
"Persons without health insurance, under age 65 years, percent","","8.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","85,455",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","119,093",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","18,805",""
"Total retail sales, 2022 ($1,000)","(c)","693,138",""
"Total retail sales per capita, 2022","(c)","$24,041",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.5",""
"Median households income (in 2023 dollars), 2019-2023","","$60,047",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,573",""
"Persons in poverty, percent","","14.4%",""
"Total employer establishments, 2022","","598",""
"Total employment, 2022","","9,927",""
"Total annual payroll, 2022 ($1,000)","","423,910",""
"Total employment, percent change, 2021-2022","","5.4%",""
"Total nonemployer establishments, 2022","","1,575",""
"All employer firms, Reference year 2022","","395",""
"Men-owned employer firms, Reference year 2022","","203",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","9",""
"Nonminority-owned employer firms, Reference year 2022","","243",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","242",""
"Population per square mile, 2020","","71.2",""
"Population per square mile, 2010","","71.4",""
"Land area in square miles, 2020","","406.36",""
"Land area in square miles, 2010","","406.36",""
"FIPS Code","","""39047""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
