"Fact","Fact Note","Geauga County, Ohio","Value Note for Geauga County, Ohio"
"Population estimates, July 1, 2024, (V2024)","","95,362",""
"Population estimates, July 1, 2023, (V2023)","","95,407",""
"Population estimates base, April 1, 2020, (V2024)","","95,427",""
"Population estimates base, April 1, 2020, (V2023)","","95,433",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.0%",""
"Population, Census, April 1, 2020","","95,397",""
"Population, Census, April 1, 2010","","93,389",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","22.0%",""
"Persons 65 years and over, percent","","23.0%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","96.5%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent (b)","(b)","2.1%",""
"White alone, not Hispanic or Latino, percent","","94.8%",""
"Veterans, 2019-2023","","4,899",""
"Foreign-born persons, percent, 2019-2023","","2.7%",""
"Housing Units, July 1, 2023, (V2023)","","37,852",""
"Owner-occupied housing unit rate, 2019-2023","","87.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$305,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,918",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$738",""
"Median gross rent, 2019-2023","","$1,018",""
"Building Permits, 2023","","156",""
"Households, 2019-2023","","35,587",""
"Persons per household, 2019-2023","","2.65",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.1%",""
"Households with a computer, percent, 2019-2023","","91.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","38.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.4%",""
"Persons without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","156,263",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","587,106",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","199,061",""
"Total retail sales, 2022 ($1,000)","(c)","1,846,918",""
"Total retail sales per capita, 2022","(c)","$19,341",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.6",""
"Median households income (in 2023 dollars), 2019-2023","","$100,783",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$50,431",""
"Persons in poverty, percent","","6.3%",""
"Total employer establishments, 2022","","2,855",""
"Total employment, 2022","","30,367",""
"Total annual payroll, 2022 ($1,000)","","1,568,592",""
"Total employment, percent change, 2021-2022","","5.0%",""
"Total nonemployer establishments, 2022","","11,398",""
"All employer firms, Reference year 2022","","2,539",""
"Men-owned employer firms, Reference year 2022","","1,599",""
"Women-owned employer firms, Reference year 2022","","515",""
"Minority-owned employer firms, Reference year 2022","","85",""
"Nonminority-owned employer firms, Reference year 2022","","2,210",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,199",""
"Population per square mile, 2020","","238.3",""
"Population per square mile, 2010","","233.4",""
"Land area in square miles, 2020","","400.30",""
"Land area in square miles, 2010","","400.16",""
"FIPS Code","","""39055""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
