"Fact","Fact Note","Holmes County, Ohio","Value Note for Holmes County, Ohio"
"Population estimates, July 1, 2024, (V2024)","","44,668",""
"Population estimates, July 1, 2023, (V2023)","","44,386",""
"Population estimates base, April 1, 2020, (V2024)","","44,220",""
"Population estimates base, April 1, 2020, (V2023)","","44,214",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.4%",""
"Population, Census, April 1, 2020","","44,223",""
"Population, Census, April 1, 2010","","42,366",""
"Persons under 5 years, percent","","8.7%",""
"Persons under 18 years, percent","","30.1%",""
"Persons 65 years and over, percent","","14.8%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","98.4%",""
"Black alone, percent (a)","(a)","0.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.1%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","0.8%",""
"Hispanic or Latino, percent (b)","(b)","1.1%",""
"White alone, not Hispanic or Latino, percent","","97.5%",""
"Veterans, 2019-2023","","916",""
"Foreign-born persons, percent, 2019-2023","","0.3%",""
"Housing Units, July 1, 2023, (V2023)","","14,555",""
"Owner-occupied housing unit rate, 2019-2023","","79.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$251,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,414",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$504",""
"Median gross rent, 2019-2023","","$773",""
"Building Permits, 2023","","21",""
"Households, 2019-2023","","13,326",""
"Persons per household, 2019-2023","","3.26",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","50.1%",""
"Households with a computer, percent, 2019-2023","","69.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","62.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","57.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","11.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","4.5%",""
"Persons without health insurance, under age 65 years, percent","","34.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","90,081",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","232,001",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","239,615",""
"Total retail sales, 2022 ($1,000)","(c)","1,015,597",""
"Total retail sales per capita, 2022","(c)","$22,887",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.5",""
"Median households income (in 2023 dollars), 2019-2023","","$74,774",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,501",""
"Persons in poverty, percent","","8.8%",""
"Total employer establishments, 2022","","1,391",""
"Total employment, 2022","","19,564",""
"Total annual payroll, 2022 ($1,000)","","923,973",""
"Total employment, percent change, 2021-2022","","4.4%",""
"Total nonemployer establishments, 2022","","6,176",""
"All employer firms, Reference year 2022","","1,092",""
"Men-owned employer firms, Reference year 2022","","802",""
"Women-owned employer firms, Reference year 2022","","73",""
"Minority-owned employer firms, Reference year 2022","","5",""
"Nonminority-owned employer firms, Reference year 2022","","984",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","965",""
"Population per square mile, 2020","","104.6",""
"Population per square mile, 2010","","100.3",""
"Land area in square miles, 2020","","422.61",""
"Land area in square miles, 2010","","422.53",""
"FIPS Code","","""39075""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
