"Fact","Fact Note","Noble County, Ohio","Value Note for Noble County, Ohio"
"Population estimates, July 1, 2024, (V2024)","","14,269",""
"Population estimates, July 1, 2023, (V2023)","","14,311",""
"Population estimates base, April 1, 2020, (V2024)","","14,120",""
"Population estimates base, April 1, 2020, (V2023)","","14,110",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.4%",""
"Population, Census, April 1, 2020","","14,115",""
"Population, Census, April 1, 2010","","14,645",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","30.4%",""
"Female persons, percent","","39.8%",""
"White alone, percent","","94.6%",""
"Black alone, percent (a)","(a)","3.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent (b)","(b)","1.4%",""
"White alone, not Hispanic or Latino, percent","","93.5%",""
"Veterans, 2019-2023","","1,029",""
"Foreign-born persons, percent, 2019-2023","","0.5%",""
"Housing Units, July 1, 2023, (V2023)","","5,830",""
"Owner-occupied housing unit rate, 2019-2023","","81.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$149,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,313",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$413",""
"Median gross rent, 2019-2023","","$730",""
"Building Permits, 2023","","13",""
"Households, 2019-2023","","4,587",""
"Persons per household, 2019-2023","","2.62",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.0%",""
"Households with a computer, percent, 2019-2023","","81.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","75.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.2%",""
"Persons without health insurance, under age 65 years, percent","","8.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","38.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","47.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","13,295",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","19,253",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","39,677",""
"Total retail sales, 2022 ($1,000)","(c)","160,402",""
"Total retail sales per capita, 2022","(c)","$11,197",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.2",""
"Median households income (in 2023 dollars), 2019-2023","","$55,360",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,514",""
"Persons in poverty, percent","","15.0%",""
"Total employer establishments, 2022","","216",""
"Total employment, 2022","","1,922",""
"Total annual payroll, 2022 ($1,000)","","75,121",""
"Total employment, percent change, 2021-2022","","9.8%",""
"Total nonemployer establishments, 2022","","796",""
"All employer firms, Reference year 2022","","107",""
"Men-owned employer firms, Reference year 2022","","50",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","77",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","75",""
"Population per square mile, 2020","","35.5",""
"Population per square mile, 2010","","36.8",""
"Land area in square miles, 2020","","398.01",""
"Land area in square miles, 2010","","398.01",""
"FIPS Code","","""39121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
