"Fact","Fact Note","Wayne County, Ohio","Value Note for Wayne County, Ohio"
"Population estimates, July 1, 2024, (V2024)","","116,632",""
"Population estimates, July 1, 2023, (V2023)","","116,510",""
"Population estimates base, April 1, 2020, (V2024)","","116,875",""
"Population estimates base, April 1, 2020, (V2023)","","116,900",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.3%",""
"Population, Census, April 1, 2020","","116,894",""
"Population, Census, April 1, 2010","","114,520",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.8%",""
"Persons 65 years and over, percent","","19.5%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","95.0%",""
"Black alone, percent (a)","(a)","1.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","2.5%",""
"White alone, not Hispanic or Latino, percent","","93.1%",""
"Veterans, 2019-2023","","5,577",""
"Foreign-born persons, percent, 2019-2023","","2.6%",""
"Housing Units, July 1, 2023, (V2023)","","47,138",""
"Owner-occupied housing unit rate, 2019-2023","","76.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$204,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,378",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$522",""
"Median gross rent, 2019-2023","","$849",""
"Building Permits, 2023","","212",""
"Households, 2019-2023","","44,192",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","14.0%",""
"Households with a computer, percent, 2019-2023","","88.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.8%",""
"Persons without health insurance, under age 65 years, percent","","12.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","200,102",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","672,709",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","438,221",""
"Total retail sales, 2022 ($1,000)","(c)","1,774,754",""
"Total retail sales per capita, 2022","(c)","$15,227",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.6",""
"Median households income (in 2023 dollars), 2019-2023","","$71,769",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,874",""
"Persons in poverty, percent","","9.2%",""
"Total employer establishments, 2022","","2,560",""
"Total employment, 2022","","42,167",""
"Total annual payroll, 2022 ($1,000)","","2,066,629",""
"Total employment, percent change, 2021-2022","","2.6%",""
"Total nonemployer establishments, 2022","","10,185",""
"All employer firms, Reference year 2022","","2,088",""
"Men-owned employer firms, Reference year 2022","","1,366",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","49",""
"Nonminority-owned employer firms, Reference year 2022","","1,777",""
"Veteran-owned employer firms, Reference year 2022","","44",""
"Nonveteran-owned employer firms, Reference year 2022","","1,781",""
"Population per square mile, 2020","","210.7",""
"Population per square mile, 2010","","206.4",""
"Land area in square miles, 2020","","554.79",""
"Land area in square miles, 2010","","554.93",""
"FIPS Code","","""39169""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
