"Fact","Fact Note","Beckham County, Oklahoma","Value Note for Beckham County, Oklahoma"
"Population estimates, July 1, 2024, (V2024)","","22,248",""
"Population estimates, July 1, 2023, (V2023)","","22,042",""
"Population estimates base, April 1, 2020, (V2024)","","22,410",""
"Population estimates base, April 1, 2020, (V2023)","","22,408",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.6%",""
"Population, Census, April 1, 2020","","22,410",""
"Population, Census, April 1, 2010","","22,119",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","16.0%",""
"Female persons, percent","","45.7%",""
"White alone, percent","","86.0%",""
"Black alone, percent (a)","(a)","5.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","3.8%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent (b)","(b)","13.9%",""
"White alone, not Hispanic or Latino, percent","","74.4%",""
"Veterans, 2019-2023","","1,082",""
"Foreign-born persons, percent, 2019-2023","","3.0%",""
"Housing Units, July 1, 2023, (V2023)","","10,156",""
"Owner-occupied housing unit rate, 2019-2023","","66.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$153,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,341",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$530",""
"Median gross rent, 2019-2023","","$821",""
"Building Permits, 2023","","14",""
"Households, 2019-2023","","8,192",""
"Persons per household, 2019-2023","","2.30",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","81.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.8%",""
"Households with a computer, percent, 2019-2023","","93.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.1%",""
"Persons without health insurance, under age 65 years, percent","","15.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","49.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","46,876",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","135,669",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","160,352",""
"Total retail sales, 2022 ($1,000)","(c)","778,466",""
"Total retail sales per capita, 2022","(c)","$35,423",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.1",""
"Median households income (in 2023 dollars), 2019-2023","","$52,323",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,675",""
"Persons in poverty, percent","","21.8%",""
"Total employer establishments, 2022","","698",""
"Total employment, 2022","","6,881",""
"Total annual payroll, 2022 ($1,000)","","322,406",""
"Total employment, percent change, 2021-2022","","-2.6%",""
"Total nonemployer establishments, 2022","","1,763",""
"All employer firms, Reference year 2022","","707",""
"Men-owned employer firms, Reference year 2022","","451",""
"Women-owned employer firms, Reference year 2022","","89",""
"Minority-owned employer firms, Reference year 2022","","48",""
"Nonminority-owned employer firms, Reference year 2022","","524",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","561",""
"Population per square mile, 2020","","24.9",""
"Population per square mile, 2010","","24.5",""
"Land area in square miles, 2020","","901.68",""
"Land area in square miles, 2010","","901.81",""
"FIPS Code","","""40009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
