"Fact","Fact Note","Lincoln County, Oklahoma","Value Note for Lincoln County, Oklahoma"
"Population estimates, July 1, 2024, (V2024)","","34,972",""
"Population estimates, July 1, 2023, (V2023)","","34,562",""
"Population estimates base, April 1, 2020, (V2024)","","33,463",""
"Population estimates base, April 1, 2020, (V2023)","","33,460",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.3%",""
"Population, Census, April 1, 2020","","33,458",""
"Population, Census, April 1, 2010","","34,273",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","23.3%",""
"Persons 65 years and over, percent","","19.8%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","83.2%",""
"Black alone, percent (a)","(a)","2.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","7.4%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","6.6%",""
"Hispanic or Latino, percent (b)","(b)","4.2%",""
"White alone, not Hispanic or Latino, percent","","80.3%",""
"Veterans, 2019-2023","","2,445",""
"Foreign-born persons, percent, 2019-2023","","1.0%",""
"Housing Units, July 1, 2023, (V2023)","","14,616",""
"Owner-occupied housing unit rate, 2019-2023","","80.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$152,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,287",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$403",""
"Median gross rent, 2019-2023","","$760",""
"Building Permits, 2023","","24",""
"Households, 2019-2023","","12,972",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.8%",""
"Households with a computer, percent, 2019-2023","","92.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.1%",""
"Persons without health insurance, under age 65 years, percent","","15.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","36,888",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","72,568",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","267,526",""
"Total retail sales, 2022 ($1,000)","(c)","422,398",""
"Total retail sales per capita, 2022","(c)","$12,375",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.8",""
"Median households income (in 2023 dollars), 2019-2023","","$59,425",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,303",""
"Persons in poverty, percent","","20.5%",""
"Total employer establishments, 2022","","561",""
"Total employment, 2022","","5,479",""
"Total annual payroll, 2022 ($1,000)","","249,459",""
"Total employment, percent change, 2021-2022","","-1.9%",""
"Total nonemployer establishments, 2022","","2,775",""
"All employer firms, Reference year 2022","","395",""
"Men-owned employer firms, Reference year 2022","","254",""
"Women-owned employer firms, Reference year 2022","","34",""
"Minority-owned employer firms, Reference year 2022","","56",""
"Nonminority-owned employer firms, Reference year 2022","","291",""
"Veteran-owned employer firms, Reference year 2022","","39",""
"Nonveteran-owned employer firms, Reference year 2022","","317",""
"Population per square mile, 2020","","35.1",""
"Population per square mile, 2010","","36.0",""
"Land area in square miles, 2020","","952.37",""
"Land area in square miles, 2010","","952.31",""
"FIPS Code","","""40081""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
