"Fact","Fact Note","Mayes County, Oklahoma","Value Note for Mayes County, Oklahoma"
"Population estimates, July 1, 2024, (V2024)","","40,144",""
"Population estimates, July 1, 2023, (V2023)","","39,889",""
"Population estimates base, April 1, 2020, (V2024)","","39,043",""
"Population estimates base, April 1, 2020, (V2023)","","39,050",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.1%",""
"Population, Census, April 1, 2020","","39,046",""
"Population, Census, April 1, 2010","","41,259",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","65.5%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","22.5%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","10.3%",""
"Hispanic or Latino, percent (b)","(b)","4.1%",""
"White alone, not Hispanic or Latino, percent","","62.9%",""
"Veterans, 2019-2023","","2,753",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","18,497",""
"Owner-occupied housing unit rate, 2019-2023","","74.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$171,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,320",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$431",""
"Median gross rent, 2019-2023","","$846",""
"Building Permits, 2023","","29",""
"Households, 2019-2023","","15,267",""
"Persons per household, 2019-2023","","2.55",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.0%",""
"Households with a computer, percent, 2019-2023","","91.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","17.9%",""
"Persons without health insurance, under age 65 years, percent","","13.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","80,576",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","108,597",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","72,353",""
"Total retail sales, 2022 ($1,000)","(c)","715,809",""
"Total retail sales per capita, 2022","(c)","$18,090",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.3",""
"Median households income (in 2023 dollars), 2019-2023","","$57,279",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,528",""
"Persons in poverty, percent","","16.9%",""
"Total employer establishments, 2022","","820",""
"Total employment, 2022","","10,717",""
"Total annual payroll, 2022 ($1,000)","","540,613",""
"Total employment, percent change, 2021-2022","","0.4%",""
"Total nonemployer establishments, 2022","","2,852",""
"All employer firms, Reference year 2022","","646",""
"Men-owned employer firms, Reference year 2022","","354",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","125",""
"Nonminority-owned employer firms, Reference year 2022","","388",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","490",""
"Population per square mile, 2020","","59.6",""
"Population per square mile, 2010","","63.0",""
"Land area in square miles, 2020","","655.40",""
"Land area in square miles, 2010","","655.39",""
"FIPS Code","","""40097""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
