"Fact","Fact Note","Pontotoc County, Oklahoma","Value Note for Pontotoc County, Oklahoma"
"Population estimates, July 1, 2024, (V2024)","","38,310",""
"Population estimates, July 1, 2023, (V2023)","","38,396",""
"Population estimates base, April 1, 2020, (V2024)","","38,068",""
"Population estimates base, April 1, 2020, (V2023)","","38,071",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.9%",""
"Population, Census, April 1, 2020","","38,065",""
"Population, Census, April 1, 2010","","37,492",""
"Persons under 5 years, percent","","6.4%",""
"Persons under 18 years, percent","","25.2%",""
"Persons 65 years and over, percent","","17.3%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","66.7%",""
"Black alone, percent (a)","(a)","2.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","21.4%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","8.9%",""
"Hispanic or Latino, percent (b)","(b)","7.0%",""
"White alone, not Hispanic or Latino, percent","","62.6%",""
"Veterans, 2019-2023","","2,053",""
"Foreign-born persons, percent, 2019-2023","","2.1%",""
"Housing Units, July 1, 2023, (V2023)","","17,564",""
"Owner-occupied housing unit rate, 2019-2023","","66.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$170,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,324",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$429",""
"Median gross rent, 2019-2023","","$880",""
"Building Permits, 2023","","21",""
"Households, 2019-2023","","14,974",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.7%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","29.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.3%",""
"Persons without health insurance, under age 65 years, percent","","16.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","91,097",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","576,113",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","113,714",""
"Total retail sales, 2022 ($1,000)","(c)","620,992",""
"Total retail sales per capita, 2022","(c)","$16,328",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.0",""
"Median households income (in 2023 dollars), 2019-2023","","$62,564",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,176",""
"Persons in poverty, percent","","13.9%",""
"Total employer establishments, 2022","","961",""
"Total employment, 2022","","13,304",""
"Total annual payroll, 2022 ($1,000)","","651,780",""
"Total employment, percent change, 2021-2022","","0.9%",""
"Total nonemployer establishments, 2022","","2,903",""
"All employer firms, Reference year 2022","","794",""
"Men-owned employer firms, Reference year 2022","","424",""
"Women-owned employer firms, Reference year 2022","","123",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","476",""
"Veteran-owned employer firms, Reference year 2022","","61",""
"Nonveteran-owned employer firms, Reference year 2022","","574",""
"Population per square mile, 2020","","52.8",""
"Population per square mile, 2010","","52.0",""
"Land area in square miles, 2020","","720.41",""
"Land area in square miles, 2010","","720.44",""
"FIPS Code","","""40123""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
