"Fact","Fact Note","Washington County, Oklahoma","Value Note for Washington County, Oklahoma"
"Population estimates, July 1, 2024, (V2024)","","54,060",""
"Population estimates, July 1, 2023, (V2023)","","53,706",""
"Population estimates base, April 1, 2020, (V2024)","","52,443",""
"Population estimates base, April 1, 2020, (V2023)","","52,455",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.4%",""
"Population, Census, April 1, 2020","","52,455",""
"Population, Census, April 1, 2010","","50,976",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","20.3%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","76.3%",""
"Black alone, percent (a)","(a)","2.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","11.5%",""
"Asian alone, percent (a)","(a)","1.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","7.7%",""
"Hispanic or Latino, percent (b)","(b)","7.1%",""
"White alone, not Hispanic or Latino, percent","","70.6%",""
"Veterans, 2019-2023","","3,256",""
"Foreign-born persons, percent, 2019-2023","","3.7%",""
"Housing Units, July 1, 2023, (V2023)","","23,790",""
"Owner-occupied housing unit rate, 2019-2023","","71.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$160,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,388",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$465",""
"Median gross rent, 2019-2023","","$903",""
"Building Permits, 2023","","40",""
"Households, 2019-2023","","20,596",""
"Persons per household, 2019-2023","","2.52",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.3%",""
"Households with a computer, percent, 2019-2023","","92.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.3%",""
"Persons without health insurance, under age 65 years, percent","","12.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","110,892",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","332,485",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","954,619",""
"Total retail sales per capita, 2022","(c)","$17,931",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.4",""
"Median households income (in 2023 dollars), 2019-2023","","$61,205",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,969",""
"Persons in poverty, percent","","15.1%",""
"Total employer establishments, 2022","","1,144",""
"Total employment, 2022","","16,894",""
"Total annual payroll, 2022 ($1,000)","","941,013",""
"Total employment, percent change, 2021-2022","","-1.7%",""
"Total nonemployer establishments, 2022","","3,679",""
"All employer firms, Reference year 2022","","810",""
"Men-owned employer firms, Reference year 2022","","410",""
"Women-owned employer firms, Reference year 2022","","128",""
"Minority-owned employer firms, Reference year 2022","","99",""
"Nonminority-owned employer firms, Reference year 2022","","487",""
"Veteran-owned employer firms, Reference year 2022","","14",""
"Nonveteran-owned employer firms, Reference year 2022","","590",""
"Population per square mile, 2020","","126.2",""
"Population per square mile, 2010","","122.7",""
"Land area in square miles, 2020","","415.52",""
"Land area in square miles, 2010","","415.45",""
"FIPS Code","","""40147""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
