"Fact","Fact Note","Deschutes County, Oregon","Value Note for Deschutes County, Oregon"
"Population estimates, July 1, 2024, (V2024)","","211,535",""
"Population estimates, July 1, 2023, (V2023)","","208,513",""
"Population estimates base, April 1, 2020, (V2024)","","198,253",""
"Population estimates base, April 1, 2020, (V2023)","","198,251",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","6.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.2%",""
"Population, Census, April 1, 2020","","198,253",""
"Population, Census, April 1, 2010","","157,733",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","18.6%",""
"Persons 65 years and over, percent","","21.8%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","93.3%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.2%",""
"Hispanic or Latino, percent (b)","(b)","9.3%",""
"White alone, not Hispanic or Latino, percent","","85.2%",""
"Veterans, 2019-2023","","12,361",""
"Foreign-born persons, percent, 2019-2023","","4.9%",""
"Housing Units, July 1, 2023, (V2023)","","101,703",""
"Owner-occupied housing unit rate, 2019-2023","","70.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$596,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,155",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$652",""
"Median gross rent, 2019-2023","","$1,674",""
"Building Permits, 2023","","2,397",""
"Households, 2019-2023","","83,197",""
"Persons per household, 2019-2023","","2.42",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.8%",""
"Households with a computer, percent, 2019-2023","","97.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","43.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","7.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","981,082",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","2,353,661",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","480,366",""
"Total retail sales, 2022 ($1,000)","(c)","4,938,051",""
"Total retail sales per capita, 2022","(c)","$23,915",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.3",""
"Median households income (in 2023 dollars), 2019-2023","","$87,640",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$50,150",""
"Persons in poverty, percent","","8.7%",""
"Total employer establishments, 2022","","8,456",""
"Total employment, 2022","","76,783",""
"Total annual payroll, 2022 ($1,000)","","4,217,712",""
"Total employment, percent change, 2021-2022","","5.5%",""
"Total nonemployer establishments, 2022","","21,960",""
"All employer firms, Reference year 2022","","7,332",""
"Men-owned employer firms, Reference year 2022","","3,934",""
"Women-owned employer firms, Reference year 2022","","1,661",""
"Minority-owned employer firms, Reference year 2022","","566",""
"Nonminority-owned employer firms, Reference year 2022","","6,146",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","6,148",""
"Population per square mile, 2020","","65.7",""
"Population per square mile, 2010","","52.3",""
"Land area in square miles, 2020","","3,017.62",""
"Land area in square miles, 2010","","3,018.19",""
"FIPS Code","","""41017""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
