"Fact","Fact Note","Polk County, Oregon","Value Note for Polk County, Oregon"
"Population estimates, July 1, 2024, (V2024)","","90,549",""
"Population estimates, July 1, 2023, (V2023)","","89,805",""
"Population estimates base, April 1, 2020, (V2024)","","87,430",""
"Population estimates base, April 1, 2020, (V2023)","","87,431",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.7%",""
"Population, Census, April 1, 2020","","87,433",""
"Population, Census, April 1, 2010","","75,403",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","21.4%",""
"Persons 65 years and over, percent","","19.5%",""
"Female persons, percent","","51.1%",""
"White alone, percent","","88.9%",""
"Black alone, percent (a)","(a)","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.8%",""
"Asian alone, percent (a)","(a)","2.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.6%",""
"Two or More Races, percent","","4.3%",""
"Hispanic or Latino, percent (b)","(b)","16.0%",""
"White alone, not Hispanic or Latino, percent","","75.3%",""
"Veterans, 2019-2023","","6,206",""
"Foreign-born persons, percent, 2019-2023","","5.7%",""
"Housing Units, July 1, 2023, (V2023)","","35,396",""
"Owner-occupied housing unit rate, 2019-2023","","64.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$419,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,967",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$620",""
"Median gross rent, 2019-2023","","$1,270",""
"Building Permits, 2023","","219",""
"Households, 2019-2023","","32,574",""
"Persons per household, 2019-2023","","2.66",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","11.3%",""
"Households with a computer, percent, 2019-2023","","95.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","143,016",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","357,292",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","101,379",""
"Total retail sales, 2022 ($1,000)","(c)","593,178",""
"Total retail sales per capita, 2022","(c)","$6,621",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.3",""
"Median households income (in 2023 dollars), 2019-2023","","$81,318",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,423",""
"Persons in poverty, percent","","11.8%",""
"Total employer establishments, 2022","","1,598",""
"Total employment, 2022","","16,194",""
"Total annual payroll, 2022 ($1,000)","","737,381",""
"Total employment, percent change, 2021-2022","","1.7%",""
"Total nonemployer establishments, 2022","","5,389",""
"All employer firms, Reference year 2022","","1,146",""
"Men-owned employer firms, Reference year 2022","","629",""
"Women-owned employer firms, Reference year 2022","","207",""
"Minority-owned employer firms, Reference year 2022","","156",""
"Nonminority-owned employer firms, Reference year 2022","","857",""
"Veteran-owned employer firms, Reference year 2022","","62",""
"Nonveteran-owned employer firms, Reference year 2022","","919",""
"Population per square mile, 2020","","118.0",""
"Population per square mile, 2010","","101.8",""
"Land area in square miles, 2020","","740.92",""
"Land area in square miles, 2010","","740.79",""
"FIPS Code","","""41053""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
