"Fact","Fact Note","Cambria County, Pennsylvania","Value Note for Cambria County, Pennsylvania"
"Population estimates, July 1, 2024, (V2024)","","130,108",""
"Population estimates, July 1, 2023, (V2023)","","130,668",""
"Population estimates base, April 1, 2020, (V2024)","","133,463",""
"Population estimates base, April 1, 2020, (V2023)","","133,478",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.1%",""
"Population, Census, April 1, 2020","","133,472",""
"Population, Census, April 1, 2010","","143,679",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","19.1%",""
"Persons 65 years and over, percent","","24.6%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","92.6%",""
"Black alone, percent (a)","(a)","4.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","90.9%",""
"Veterans, 2019-2023","","9,411",""
"Foreign-born persons, percent, 2019-2023","","1.0%",""
"Housing Units, July 1, 2023, (V2023)","","64,525",""
"Owner-occupied housing unit rate, 2019-2023","","75.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$115,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,181",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$494",""
"Median gross rent, 2019-2023","","$733",""
"Building Permits, 2023","","47",""
"Households, 2019-2023","","55,692",""
"Persons per household, 2019-2023","","2.26",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.4%",""
"Households with a computer, percent, 2019-2023","","88.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.1%",""
"Persons without health insurance, under age 65 years, percent","","5.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","221,405",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,303,539",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","403,019",""
"Total retail sales, 2022 ($1,000)","(c)","2,151,646",""
"Total retail sales per capita, 2022","(c)","$16,371",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.3",""
"Median households income (in 2023 dollars), 2019-2023","","$56,292",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,863",""
"Persons in poverty, percent","","13.2%",""
"Total employer establishments, 2022","","3,001",""
"Total employment, 2022","","43,953",""
"Total annual payroll, 2022 ($1,000)","","1,822,411",""
"Total employment, percent change, 2021-2022","","2.9%",""
"Total nonemployer establishments, 2022","","6,331",""
"All employer firms, Reference year 2022","","1,946",""
"Men-owned employer firms, Reference year 2022","","980",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,552",""
"Veteran-owned employer firms, Reference year 2022","","76",""
"Nonveteran-owned employer firms, Reference year 2022","","1,518",""
"Population per square mile, 2020","","194.1",""
"Population per square mile, 2010","","208.7",""
"Land area in square miles, 2020","","687.51",""
"Land area in square miles, 2010","","688.35",""
"FIPS Code","","""42021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
