"Fact","Fact Note","Indiana County, Pennsylvania","Value Note for Indiana County, Pennsylvania"
"Population estimates, July 1, 2024, (V2024)","","82,953",""
"Population estimates, July 1, 2023, (V2023)","","83,094",""
"Population estimates base, April 1, 2020, (V2024)","","83,232",""
"Population estimates base, April 1, 2020, (V2023)","","83,233",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.2%",""
"Population, Census, April 1, 2020","","83,246",""
"Population, Census, April 1, 2010","","88,880",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","17.9%",""
"Persons 65 years and over, percent","","21.0%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","94.2%",""
"Black alone, percent (a)","(a)","3.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","1.9%",""
"White alone, not Hispanic or Latino, percent","","92.8%",""
"Veterans, 2019-2023","","4,890",""
"Foreign-born persons, percent, 2019-2023","","2.2%",""
"Housing Units, July 1, 2023, (V2023)","","37,690",""
"Owner-occupied housing unit rate, 2019-2023","","71.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$145,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,240",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$525",""
"Median gross rent, 2019-2023","","$786",""
"Building Permits, 2023","","24",""
"Households, 2019-2023","","32,291",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.4%",""
"Households with a computer, percent, 2019-2023","","89.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.0%",""
"Persons without health insurance, under age 65 years, percent","","7.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","136,469",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","475,378",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","176,943",""
"Total retail sales, 2022 ($1,000)","(c)","1,904,890",""
"Total retail sales per capita, 2022","(c)","$22,933",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.2",""
"Median households income (in 2023 dollars), 2019-2023","","$58,739",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,524",""
"Persons in poverty, percent","","16.5%",""
"Total employer establishments, 2022","","1,788",""
"Total employment, 2022","","23,235",""
"Total annual payroll, 2022 ($1,000)","","1,103,336",""
"Total employment, percent change, 2021-2022","","3.8%",""
"Total nonemployer establishments, 2022","","5,076",""
"All employer firms, Reference year 2022","","1,232",""
"Men-owned employer firms, Reference year 2022","","711",""
"Women-owned employer firms, Reference year 2022","","195",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,013",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","946",""
"Population per square mile, 2020","","100.6",""
"Population per square mile, 2010","","107.5",""
"Land area in square miles, 2020","","827.40",""
"Land area in square miles, 2010","","827.03",""
"FIPS Code","","""42063""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
