"Fact","Fact Note","Sullivan County, Pennsylvania","Value Note for Sullivan County, Pennsylvania"
"Population estimates, July 1, 2024, (V2024)","","5,927",""
"Population estimates, July 1, 2023, (V2023)","","5,834",""
"Population estimates base, April 1, 2020, (V2024)","","5,841",""
"Population estimates base, April 1, 2020, (V2023)","","5,838",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","5,840",""
"Population, Census, April 1, 2010","","6,428",""
"Persons under 5 years, percent","","2.9%",""
"Persons under 18 years, percent","","10.3%",""
"Persons 65 years and over, percent","","32.8%",""
"Female persons, percent","","48.0%",""
"White alone, percent","","95.2%",""
"Black alone, percent (a)","(a)","2.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent (b)","(b)","2.5%",""
"White alone, not Hispanic or Latino, percent","","93.2%",""
"Veterans, 2019-2023","","500",""
"Foreign-born persons, percent, 2019-2023","","1.6%",""
"Housing Units, July 1, 2023, (V2023)","","5,601",""
"Owner-occupied housing unit rate, 2019-2023","","83.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$186,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,368",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$497",""
"Median gross rent, 2019-2023","","$781",""
"Building Permits, 2023","","15",""
"Households, 2019-2023","","2,536",""
"Persons per household, 2019-2023","","2.17",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","94.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.8%",""
"Households with a computer, percent, 2019-2023","","91.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.1%",""
"Persons without health insurance, under age 65 years, percent","","8.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","6,668",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","42,964",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","74,520",""
"Total retail sales per capita, 2022","(c)","$12,749",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.6",""
"Median households income (in 2023 dollars), 2019-2023","","$64,758",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,338",""
"Persons in poverty, percent","","13.8%",""
"Total employer establishments, 2022","","159",""
"Total employment, 2022","","997",""
"Total annual payroll, 2022 ($1,000)","","35,051",""
"Total employment, percent change, 2021-2022","","12.8%",""
"Total nonemployer establishments, 2022","","476",""
"All employer firms, Reference year 2022","","169",""
"Men-owned employer firms, Reference year 2022","","64",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","153",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","148",""
"Population per square mile, 2020","","13.0",""
"Population per square mile, 2010","","14.3",""
"Land area in square miles, 2020","","449.94",""
"Land area in square miles, 2010","","449.94",""
"FIPS Code","","""42113""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
