"Fact","Fact Note","Hampton County, South Carolina","Value Note for Hampton County, South Carolina"
"Population estimates, July 1, 2024, (V2024)","","18,172",""
"Population estimates, July 1, 2023, (V2023)","","18,122",""
"Population estimates base, April 1, 2020, (V2024)","","18,565",""
"Population estimates base, April 1, 2020, (V2023)","","18,555",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.3%",""
"Population, Census, April 1, 2020","","18,561",""
"Population, Census, April 1, 2010","","21,090",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.3%",""
"Persons 65 years and over, percent","","20.2%",""
"Female persons, percent","","47.9%",""
"White alone, percent","","44.8%",""
"Black alone, percent (a)","(a)","52.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","4.5%",""
"White alone, not Hispanic or Latino, percent","","41.5%",""
"Veterans, 2019-2023","","898",""
"Foreign-born persons, percent, 2019-2023","","3.2%",""
"Housing Units, July 1, 2023, (V2023)","","8,668",""
"Owner-occupied housing unit rate, 2019-2023","","73.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$102,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,173",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$414",""
"Median gross rent, 2019-2023","","$815",""
"Building Permits, 2023","","10",""
"Households, 2019-2023","","7,104",""
"Persons per household, 2019-2023","","2.52",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.0%",""
"Households with a computer, percent, 2019-2023","","89.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","82.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","11.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.2%",""
"Persons without health insurance, under age 65 years, percent","","13.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","18,405",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","50,269",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","17,725",""
"Total retail sales, 2022 ($1,000)","(c)","274,240",""
"Total retail sales per capita, 2022","(c)","$15,121",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","36.6",""
"Median households income (in 2023 dollars), 2019-2023","","$43,059",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,082",""
"Persons in poverty, percent","","24.2%",""
"Total employer establishments, 2022","","307",""
"Total employment, 2022","","3,250",""
"Total annual payroll, 2022 ($1,000)","","146,302",""
"Total employment, percent change, 2021-2022","","12.3%",""
"Total nonemployer establishments, 2022","","1,423",""
"All employer firms, Reference year 2022","","211",""
"Men-owned employer firms, Reference year 2022","","133",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","17",""
"Nonminority-owned employer firms, Reference year 2022","","151",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","162",""
"Population per square mile, 2020","","33.1",""
"Population per square mile, 2010","","37.7",""
"Land area in square miles, 2020","","559.98",""
"Land area in square miles, 2010","","559.90",""
"FIPS Code","","""45049""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
