"Fact","Fact Note","Jasper County, South Carolina","Value Note for Jasper County, South Carolina"
"Population estimates, July 1, 2024, (V2024)","","35,618",""
"Population estimates, July 1, 2023, (V2023)","","33,544",""
"Population estimates base, April 1, 2020, (V2024)","","28,805",""
"Population estimates base, April 1, 2020, (V2023)","","28,810",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","23.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","16.4%",""
"Population, Census, April 1, 2020","","28,791",""
"Population, Census, April 1, 2010","","24,777",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","17.9%",""
"Persons 65 years and over, percent","","25.0%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","62.8%",""
"Black alone, percent (a)","(a)","33.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","17.2%",""
"White alone, not Hispanic or Latino, percent","","48.2%",""
"Veterans, 2019-2023","","2,210",""
"Foreign-born persons, percent, 2019-2023","","10.4%",""
"Housing Units, July 1, 2023, (V2023)","","15,613",""
"Owner-occupied housing unit rate, 2019-2023","","76.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$269,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,497",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$441",""
"Median gross rent, 2019-2023","","$1,307",""
"Building Permits, 2023","","1,320",""
"Households, 2019-2023","","12,420",""
"Persons per household, 2019-2023","","2.39",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","17.6%",""
"Households with a computer, percent, 2019-2023","","91.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","25.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.6%",""
"Persons without health insurance, under age 65 years, percent","","15.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","83,423",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","132,295",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","23,619",""
"Total retail sales, 2022 ($1,000)","(c)","1,435,204",""
"Total retail sales per capita, 2022","(c)","$44,870",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.9",""
"Median households income (in 2023 dollars), 2019-2023","","$63,503",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,505",""
"Persons in poverty, percent","","16.2%",""
"Total employer establishments, 2022","","810",""
"Total employment, 2022","","9,559",""
"Total annual payroll, 2022 ($1,000)","","450,357",""
"Total employment, percent change, 2021-2022","","9.2%",""
"Total nonemployer establishments, 2022","","3,055",""
"All employer firms, Reference year 2022","","634",""
"Men-owned employer firms, Reference year 2022","","427",""
"Women-owned employer firms, Reference year 2022","","96",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","443",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","500",""
"Population per square mile, 2020","","43.9",""
"Population per square mile, 2010","","37.8",""
"Land area in square miles, 2020","","655.16",""
"Land area in square miles, 2010","","655.32",""
"FIPS Code","","""45053""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
