"Fact","Fact Note","Aurora County, South Dakota","Value Note for Aurora County, South Dakota"
"Population estimates, July 1, 2024, (V2024)","","2,752",""
"Population estimates, July 1, 2023, (V2023)","","2,782",""
"Population estimates base, April 1, 2020, (V2024)","","2,753",""
"Population estimates base, April 1, 2020, (V2023)","","2,748",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.2%",""
"Population, Census, April 1, 2020","","2,747",""
"Population, Census, April 1, 2010","","2,710",""
"Persons under 5 years, percent","","7.0%",""
"Persons under 18 years, percent","","25.5%",""
"Persons 65 years and over, percent","","21.2%",""
"Female persons, percent","","48.2%",""
"White alone, percent","","93.2%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","3.5%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","8.2%",""
"White alone, not Hispanic or Latino, percent","","86.2%",""
"Veterans, 2019-2023","","100",""
"Foreign-born persons, percent, 2019-2023","","5.0%",""
"Housing Units, July 1, 2023, (V2023)","","1,274",""
"Owner-occupied housing unit rate, 2019-2023","","76.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$129,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,460",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$602",""
"Median gross rent, 2019-2023","","$739",""
"Building Permits, 2023","","5",""
"Households, 2019-2023","","1,042",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","95.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.2%",""
"Households with a computer, percent, 2019-2023","","91.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.5%",""
"Persons without health insurance, under age 65 years, percent","","11.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,766",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","12,847",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","4,574",""
"Total retail sales, 2022 ($1,000)","(c)","49,655",""
"Total retail sales per capita, 2022","(c)","$17,978",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.5",""
"Median households income (in 2023 dollars), 2019-2023","","$74,130",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,275",""
"Persons in poverty, percent","","11.0%",""
"Total employer establishments, 2022","","77",""
"Total employment, 2022","","481",""
"Total annual payroll, 2022 ($1,000)","","21,700",""
"Total employment, percent change, 2021-2022","","-24.3%",""
"Total nonemployer establishments, 2022","","262",""
"All employer firms, Reference year 2022","","60",""
"Men-owned employer firms, Reference year 2022","","44",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","50",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","38",""
"Population per square mile, 2020","","3.9",""
"Population per square mile, 2010","","3.8",""
"Land area in square miles, 2020","","708.46",""
"Land area in square miles, 2010","","708.43",""
"FIPS Code","","""46003""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
