"Fact","Fact Note","Douglas County, South Dakota","Value Note for Douglas County, South Dakota"
"Population estimates, July 1, 2024, (V2024)","","2,849",""
"Population estimates, July 1, 2023, (V2023)","","2,838",""
"Population estimates base, April 1, 2020, (V2024)","","2,833",""
"Population estimates base, April 1, 2020, (V2023)","","2,833",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.2%",""
"Population, Census, April 1, 2020","","2,835",""
"Population, Census, April 1, 2010","","3,002",""
"Persons under 5 years, percent","","7.9%",""
"Persons under 18 years, percent","","27.2%",""
"Persons 65 years and over, percent","","24.5%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","94.2%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.7%",""
"Asian alone, percent (a)","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","3.5%",""
"White alone, not Hispanic or Latino, percent","","91.5%",""
"Veterans, 2019-2023","","170",""
"Foreign-born persons, percent, 2019-2023","","2.1%",""
"Housing Units, July 1, 2023, (V2023)","","1,352",""
"Owner-occupied housing unit rate, 2019-2023","","77.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$125,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,373",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$584",""
"Median gross rent, 2019-2023","","$864",""
"Building Permits, 2023","","4",""
"Households, 2019-2023","","1,117",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.5%",""
"Households with a computer, percent, 2019-2023","","89.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","4.7%",""
"Persons without health insurance, under age 65 years, percent","","12.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","65.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,021",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","20,171",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","39,057",""
"Total retail sales per capita, 2022","(c)","$14,014",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.5",""
"Median households income (in 2023 dollars), 2019-2023","","$78,125",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,172",""
"Persons in poverty, percent","","8.7%",""
"Total employer establishments, 2022","","101",""
"Total employment, 2022","","757",""
"Total annual payroll, 2022 ($1,000)","","33,728",""
"Total employment, percent change, 2021-2022","","-4.3%",""
"Total nonemployer establishments, 2022","","284",""
"All employer firms, Reference year 2022","","105",""
"Men-owned employer firms, Reference year 2022","","82",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","3",""
"Nonminority-owned employer firms, Reference year 2022","","88",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","73",""
"Population per square mile, 2020","","6.6",""
"Population per square mile, 2010","","7.0",""
"Land area in square miles, 2020","","431.80",""
"Land area in square miles, 2010","","431.80",""
"FIPS Code","","""46043""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
