"Fact","Fact Note","Haakon County, South Dakota","Value Note for Haakon County, South Dakota"
"Population estimates, July 1, 2024, (V2024)","","1,834",""
"Population estimates, July 1, 2023, (V2023)","","1,851",""
"Population estimates base, April 1, 2020, (V2024)","","1,874",""
"Population estimates base, April 1, 2020, (V2023)","","1,872",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.1%",""
"Population, Census, April 1, 2020","","1,872",""
"Population, Census, April 1, 2010","","1,937",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","27.6%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","92.3%",""
"Black alone, percent (a)","(a)","0.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","3.5%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent (b)","(b)","1.6%",""
"White alone, not Hispanic or Latino, percent","","91.2%",""
"Veterans, 2019-2023","","64",""
"Foreign-born persons, percent, 2019-2023","","0.0%",""
"Housing Units, July 1, 2023, (V2023)","","936",""
"Owner-occupied housing unit rate, 2019-2023","","82.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$153,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,208",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$561",""
"Median gross rent, 2019-2023","","$688",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","674",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","98.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.3%",""
"Households with a computer, percent, 2019-2023","","94.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","71.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","96.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.2%",""
"Persons without health insurance, under age 65 years, percent","","10.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,792",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","NA",""
"Total retail sales, 2022 ($1,000)","(c)","36,478",""
"Total retail sales per capita, 2022","(c)","$19,890",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.7",""
"Median households income (in 2023 dollars), 2019-2023","","$59,231",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$35,643",""
"Persons in poverty, percent","","10.6%",""
"Total employer establishments, 2022","","80",""
"Total employment, 2022","","612",""
"Total annual payroll, 2022 ($1,000)","","26,256",""
"Total employment, percent change, 2021-2022","","0.3%",""
"Total nonemployer establishments, 2022","","232",""
"All employer firms, Reference year 2022","","78",""
"Men-owned employer firms, Reference year 2022","","40",""
"Women-owned employer firms, Reference year 2022","","17",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","68",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","67",""
"Population per square mile, 2020","","1.0",""
"Population per square mile, 2010","","1.1",""
"Land area in square miles, 2020","","1,810.54",""
"Land area in square miles, 2010","","1,810.53",""
"FIPS Code","","""46055""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
