"Fact","Fact Note","Turner County, South Dakota","Value Note for Turner County, South Dakota"
"Population estimates, July 1, 2024, (V2024)","","9,087",""
"Population estimates, July 1, 2023, (V2023)","","9,027",""
"Population estimates base, April 1, 2020, (V2024)","","8,674",""
"Population estimates base, April 1, 2020, (V2023)","","8,663",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.2%",""
"Population, Census, April 1, 2020","","8,673",""
"Population, Census, April 1, 2010","","8,347",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","25.2%",""
"Persons 65 years and over, percent","","20.1%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","95.9%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","4.1%",""
"White alone, not Hispanic or Latino, percent","","92.8%",""
"Veterans, 2019-2023","","547",""
"Foreign-born persons, percent, 2019-2023","","2.1%",""
"Housing Units, July 1, 2023, (V2023)","","3,936",""
"Owner-occupied housing unit rate, 2019-2023","","79.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$199,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,473",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$558",""
"Median gross rent, 2019-2023","","$745",""
"Building Permits, 2023","","33",""
"Households, 2019-2023","","3,535",""
"Persons per household, 2019-2023","","2.42",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.8%",""
"Households with a computer, percent, 2019-2023","","90.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.3%",""
"Persons without health insurance, under age 65 years, percent","","9.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","3,192",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","24,471",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","65,432",""
"Total retail sales per capita, 2022","(c)","$7,362",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.2",""
"Median households income (in 2023 dollars), 2019-2023","","$75,283",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$36,569",""
"Persons in poverty, percent","","8.4%",""
"Total employer establishments, 2022","","257",""
"Total employment, 2022","","1,404",""
"Total annual payroll, 2022 ($1,000)","","64,044",""
"Total employment, percent change, 2021-2022","","-3.4%",""
"Total nonemployer establishments, 2022","","721",""
"All employer firms, Reference year 2022","","218",""
"Men-owned employer firms, Reference year 2022","","145",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","191",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","173",""
"Population per square mile, 2020","","14.1",""
"Population per square mile, 2010","","13.5",""
"Land area in square miles, 2020","","617.06",""
"Land area in square miles, 2010","","617.06",""
"FIPS Code","","""46125""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
