"Fact","Fact Note","Clay County, Tennessee","Value Note for Clay County, Tennessee"
"Population estimates, July 1, 2024, (V2024)","","7,857",""
"Population estimates, July 1, 2023, (V2023)","","7,714",""
"Population estimates base, April 1, 2020, (V2024)","","7,585",""
"Population estimates base, April 1, 2020, (V2023)","","7,580",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%",""
"Population, Census, April 1, 2020","","7,581",""
"Population, Census, April 1, 2010","","7,861",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","19.8%",""
"Persons 65 years and over, percent","","25.6%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","95.8%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","3.0%",""
"White alone, not Hispanic or Latino, percent","","93.3%",""
"Veterans, 2019-2023","","472",""
"Foreign-born persons, percent, 2019-2023","","3.3%",""
"Housing Units, July 1, 2023, (V2023)","","4,035",""
"Owner-occupied housing unit rate, 2019-2023","","77.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$136,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,230",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$375",""
"Median gross rent, 2019-2023","","$546",""
"Building Permits, 2023","","25",""
"Households, 2019-2023","","3,201",""
"Persons per household, 2019-2023","","2.35",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","94.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.0%",""
"Households with a computer, percent, 2019-2023","","86.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","75.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","12.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.4%",""
"Persons without health insurance, under age 65 years, percent","","12.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","46.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","42.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","3,881",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","31,844",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,712",""
"Total retail sales, 2022 ($1,000)","(c)","46,076",""
"Total retail sales per capita, 2022","(c)","$6,018",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.3",""
"Median households income (in 2023 dollars), 2019-2023","","$44,712",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,401",""
"Persons in poverty, percent","","21.2%",""
"Total employer establishments, 2022","","98",""
"Total employment, 2022","","980",""
"Total annual payroll, 2022 ($1,000)","","34,016",""
"Total employment, percent change, 2021-2022","","-9.2%",""
"Total nonemployer establishments, 2022","","679",""
"All employer firms, Reference year 2022","","153",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","12",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","32.0",""
"Population per square mile, 2010","","33.2",""
"Land area in square miles, 2020","","236.54",""
"Land area in square miles, 2010","","236.54",""
"FIPS Code","","""47027""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
