"Fact","Fact Note","Dyer County, Tennessee","Value Note for Dyer County, Tennessee"
"Population estimates, July 1, 2024, (V2024)","","36,403",""
"Population estimates, July 1, 2023, (V2023)","","36,498",""
"Population estimates base, April 1, 2020, (V2024)","","36,799",""
"Population estimates base, April 1, 2020, (V2023)","","36,808",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.8%",""
"Population, Census, April 1, 2020","","36,801",""
"Population, Census, April 1, 2010","","38,335",""
"Persons under 5 years, percent","","6.5%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","17.9%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","80.8%",""
"Black alone, percent (a)","(a)","15.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","4.1%",""
"White alone, not Hispanic or Latino, percent","","77.5%",""
"Veterans, 2019-2023","","1,884",""
"Foreign-born persons, percent, 2019-2023","","1.8%",""
"Housing Units, July 1, 2023, (V2023)","","16,354",""
"Owner-occupied housing unit rate, 2019-2023","","62.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$159,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,175",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$481",""
"Median gross rent, 2019-2023","","$760",""
"Building Permits, 2023","","59",""
"Households, 2019-2023","","14,884",""
"Persons per household, 2019-2023","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.2%",""
"Households with a computer, percent, 2019-2023","","92.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.3%",""
"Persons without health insurance, under age 65 years, percent","","10.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","91,244",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","202,684",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","68,308",""
"Total retail sales, 2022 ($1,000)","(c)","699,172",""
"Total retail sales per capita, 2022","(c)","$19,187",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.5",""
"Median households income (in 2023 dollars), 2019-2023","","$54,973",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,628",""
"Persons in poverty, percent","","17.7%",""
"Total employer establishments, 2022","","799",""
"Total employment, 2022","","13,375",""
"Total annual payroll, 2022 ($1,000)","","644,177",""
"Total employment, percent change, 2021-2022","","5.9%",""
"Total nonemployer establishments, 2022","","2,550",""
"All employer firms, Reference year 2022","","788",""
"Men-owned employer firms, Reference year 2022","","479",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","28",""
"Nonminority-owned employer firms, Reference year 2022","","629",""
"Veteran-owned employer firms, Reference year 2022","","6",""
"Nonveteran-owned employer firms, Reference year 2022","","604",""
"Population per square mile, 2020","","71.8",""
"Population per square mile, 2010","","74.8",""
"Land area in square miles, 2020","","512.35",""
"Land area in square miles, 2010","","512.33",""
"FIPS Code","","""47045""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
