"Fact","Fact Note","Hickman County, Tennessee","Value Note for Hickman County, Tennessee"
"Population estimates, July 1, 2024, (V2024)","","25,859",""
"Population estimates, July 1, 2023, (V2023)","","25,826",""
"Population estimates base, April 1, 2020, (V2024)","","24,907",""
"Population estimates base, April 1, 2020, (V2023)","","24,911",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.7%",""
"Population, Census, April 1, 2020","","24,925",""
"Population, Census, April 1, 2010","","24,690",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","21.0%",""
"Persons 65 years and over, percent","","18.4%",""
"Female persons, percent","","47.8%",""
"White alone, percent","","92.0%",""
"Black alone, percent (a)","(a)","4.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","3.6%",""
"White alone, not Hispanic or Latino, percent","","88.9%",""
"Veterans, 2019-2023","","1,896",""
"Foreign-born persons, percent, 2019-2023","","1.1%",""
"Housing Units, July 1, 2023, (V2023)","","10,821",""
"Owner-occupied housing unit rate, 2019-2023","","77.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$192,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,287",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$390",""
"Median gross rent, 2019-2023","","$877",""
"Building Permits, 2023","","118",""
"Households, 2019-2023","","9,180",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.4%",""
"Households with a computer, percent, 2019-2023","","89.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","77.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.7%",""
"Persons without health insurance, under age 65 years, percent","","13.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","15,473",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","12,510",""
"Total retail sales, 2022 ($1,000)","(c)","135,928",""
"Total retail sales per capita, 2022","(c)","$5,334",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","35.4",""
"Median households income (in 2023 dollars), 2019-2023","","$57,223",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,512",""
"Persons in poverty, percent","","15.9%",""
"Total employer establishments, 2022","","297",""
"Total employment, 2022","","2,838",""
"Total annual payroll, 2022 ($1,000)","","121,945",""
"Total employment, percent change, 2021-2022","","6.3%",""
"Total nonemployer establishments, 2022","","2,072",""
"All employer firms, Reference year 2022","","188",""
"Men-owned employer firms, Reference year 2022","","112",""
"Women-owned employer firms, Reference year 2022","","30",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","149",""
"Veteran-owned employer firms, Reference year 2022","","27",""
"Nonveteran-owned employer firms, Reference year 2022","","121",""
"Population per square mile, 2020","","40.7",""
"Population per square mile, 2010","","40.3",""
"Land area in square miles, 2020","","612.48",""
"Land area in square miles, 2010","","612.50",""
"FIPS Code","","""47081""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
