"Fact","Fact Note","Knox County, Tennessee","Value Note for Knox County, Tennessee"
"Population estimates, July 1, 2024, (V2024)","","506,748",""
"Population estimates, July 1, 2023, (V2023)","","500,669",""
"Population estimates base, April 1, 2020, (V2024)","","478,959",""
"Population estimates base, April 1, 2020, (V2023)","","478,966",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.5%",""
"Population, Census, April 1, 2020","","478,971",""
"Population, Census, April 1, 2010","","432,226",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","20.8%",""
"Persons 65 years and over, percent","","16.6%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","85.5%",""
"Black alone, percent (a)","(a)","8.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","2.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","6.4%",""
"White alone, not Hispanic or Latino, percent","","80.0%",""
"Veterans, 2019-2023","","26,862",""
"Foreign-born persons, percent, 2019-2023","","6.2%",""
"Housing Units, July 1, 2023, (V2023)","","219,932",""
"Owner-occupied housing unit rate, 2019-2023","","64.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$279,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,510",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$475",""
"Median gross rent, 2019-2023","","$1,180",""
"Building Permits, 2023","","4,293",""
"Households, 2019-2023","","197,298",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.0%",""
"Households with a computer, percent, 2019-2023","","95.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","40.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.5%",""
"Persons without health insurance, under age 65 years, percent","","9.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,849,322",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","5,838,877",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,662,947",""
"Total retail sales, 2022 ($1,000)","(c)","13,942,094",""
"Total retail sales per capita, 2022","(c)","$28,144",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.2",""
"Median households income (in 2023 dollars), 2019-2023","","$71,662",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$41,957",""
"Persons in poverty, percent","","13.8%",""
"Total employer establishments, 2022","","12,350",""
"Total employment, 2022","","230,356",""
"Total annual payroll, 2022 ($1,000)","","12,343,159",""
"Total employment, percent change, 2021-2022","","2.8%",""
"Total nonemployer establishments, 2022","","42,713",""
"All employer firms, Reference year 2022","","9,439",""
"Men-owned employer firms, Reference year 2022","","5,486",""
"Women-owned employer firms, Reference year 2022","","1,669",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","7,229",""
"Veteran-owned employer firms, Reference year 2022","","449",""
"Nonveteran-owned employer firms, Reference year 2022","","7,651",""
"Population per square mile, 2020","","942.2",""
"Population per square mile, 2010","","850.5",""
"Land area in square miles, 2020","","508.33",""
"Land area in square miles, 2010","","508.22",""
"FIPS Code","","""47093""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
